Reconciled_Record_ID,Authors,Title,Publication,Volume,Number,Pages,Year,Publisher,Candidate_Sheet_Position,Screened_Sheet_Position,Present_in_1_Literature,Present_in_Screened_Literature,Eligibility_Status,Record_Level_Exclusion_Reason,Reconciliation_Note
FTA004,"Conca, Ken; ",Greening the United Nations: Environmental organisations and the UN system,Third World Quarterly,16,3,441-458,1995,Taylor & Francis,4,,Yes,No,Excluded,Record-specific exclusion reason not preserved in the surviving Stage 1 workbook.,Present in the candidate export but absent from the final included corpus.
FTA009,"Ivanova, Maria; ","UNEP in global environmental governance: design, leadership, location",90,10,1,30-59,,,9,,Yes,No,Excluded,Record-specific exclusion reason not preserved in the surviving Stage 1 workbook.,Present in the candidate export but absent from the final included corpus.
FTA017,"Martens, Kerstin; ",Institutionalizing societal activism within global governance structures: Amnesty International and the United Nations system,Journal of international relations and development,9,,371-395,2006,Springer,17,,Yes,No,Excluded,Record-specific exclusion reason not preserved in the surviving Stage 1 workbook.,Present in the candidate export but absent from the final included corpus.
FTA019,"Ivanova, Maria; ",UNEP as anchor organization for the global environment,International organizations in global environmental governance,,,165-187,2009,Routledge,19,,Yes,No,Excluded,Record-specific exclusion reason not preserved in the surviving Stage 1 workbook.,Present in the candidate export but absent from the final included corpus.
FTA020,"Young, Oran R; ",Global environmental change and international governance,Millennium,19,3,337-346,1990,"Sage Publications Sage UK: London, England",20,,Yes,No,Excluded,Record-specific exclusion reason not preserved in the surviving Stage 1 workbook.,Present in the candidate export but absent from the final included corpus.
FTA036,"Tarasofsky, Richard; ",International environmental governance: Strengthening UNEP,,,,,2002,UCN/IAS,36,,Yes,No,Excluded,Record-specific exclusion reason not preserved in the surviving Stage 1 workbook.,Present in the candidate export but absent from the final included corpus.
FTA050,"Auer, Matthew R; ",Who participates in global environmental governance? Partial answers from international relations theory,Policy Sciences,33,2,155-180,2000,Springer,50,,Yes,No,Excluded,Record-specific exclusion reason not preserved in the surviving Stage 1 workbook.,Present in the candidate export but absent from the final included corpus.
FTA068,"Kingsbury, Benedict; Casini, Lorenzo; ",Global administrative law dimensions of international organizations law,International Organizations Law Review,6,2,319-358,2009,Brill Nijhoff,68,,Yes,No,Excluded,Record-specific exclusion reason not preserved in the surviving Stage 1 workbook.,Present in the candidate export but absent from the final included corpus.
FTA079,"Bauer, Steffen; Andresen, Steinar; Biermann, Frank; ",International bureaucracies,Global environmental governance reconsidered,,,27-44,2012,"MIT Press Cambridge, MA",79,,Yes,No,Excluded,Record-specific exclusion reason not preserved in the surviving Stage 1 workbook.,Present in the candidate export but absent from the final included corpus.
FTA081,"Jacobson, Harold K; Weiss, Edith Brown; ",Strengthening compliance with international environmental accords: preliminary observations from Collaborative Project,Global Governance,1,,119,1995,HeinOnline,81,,Yes,No,Excluded,Record-specific exclusion reason not preserved in the surviving Stage 1 workbook.,Present in the candidate export but absent from the final included corpus.
FTA085,"Ivanova, Maria; ",Assessing UNEP as anchor institution for the global environment: Lessons for the UNEO debate,Yale Center for Environmental Law & Policy Working Paper Series,5,1,,2005,,85,,Yes,No,Excluded,Record-specific exclusion reason not preserved in the surviving Stage 1 workbook.,Present in the candidate export but absent from the final included corpus.
