Reconciled_Record_ID,Authors,Title,Publication,Volume,Number,Pages,Year,Publisher,Candidate_Sheet_Position,Screened_Sheet_Position,Present_in_1_Literature,Present_in_Screened_Literature,Eligibility_Status,Record_Level_Exclusion_Reason,Reconciliation_Note
FTA001,"Biermann, Frank; Pattberg, Philipp; ","Global environmental governance: Taking stock, moving forward",Annual Review of Environment and Resources,33,,277-294,2008,Annual Reviews,1,1,Yes,Yes,Included,,Present in both surviving Stage 1 sheets.
FTA002,"Siebenhüner, Bernd; ",Learning in international organizations in global environmental governance,Global Environmental Politics,8,4,92-116,2008,"MIT Press One Rogers Street, Cambridge, MA 02142-1209, USA journals-info …",2,2,Yes,Yes,Included,,Present in both surviving Stage 1 sheets.
FTA003,"Stephan, Hannes R; Zelli, Fariborz; ",International Organizations and the Global Environment,Politics of the Environment,,,52-70,2018,Routledge,3,3,Yes,Yes,Included,,Present in both surviving Stage 1 sheets.
FTA004,"Conca, Ken; ",Greening the United Nations: Environmental organisations and the UN system,Third World Quarterly,16,3,441-458,1995,Taylor & Francis,4,,Yes,No,Excluded,Record-specific exclusion reason not preserved in the surviving Stage 1 workbook.,Present in the candidate export but absent from the final included corpus.
FTA005,"Biermann, Frank; Siebenhüner, Bernd; Schreyögg, Anna; ",Global environmental governance and international organizations: setting the stage,International Organizations in Global Environmental Governance,,,15-30,2009,Routledge,5,4,Yes,Yes,Included,,Present in both surviving Stage 1 sheets.
FTA006,"Berliner, Daniel; Prakash, Aseem; ",From norms to programs: The United Nations Global Compact and global governance,Regulation & Governance,6,2,149-166,2012,Wiley Online Library,6,5,Yes,Yes,Included,,Present in both surviving Stage 1 sheets.
FTA007,"List, Martin; Rittberger, Volker; ",The role of intergovernmental organizations in the formation and evolution of international environmental regimes,The Politics of International Environmental Management,,,67-81,1998,Springer,7,6,Yes,Yes,Included,,Present in both surviving Stage 1 sheets.
FTA008,"Kumar, Rajeesh; ",The united nations and global environmental governance,Strategic Analysis,44,5,479-489,2020,Taylor & Francis,8,7,Yes,Yes,Included,,Present in both surviving Stage 1 sheets.
FTA009,"Ivanova, Maria; ","UNEP in global environmental governance: design, leadership, location",90,10,1,30-59,,,9,,Yes,No,Excluded,Record-specific exclusion reason not preserved in the surviving Stage 1 workbook.,Present in the candidate export but absent from the final included corpus.
FTA010,"Biermann, Frank; ",Reforming global environmental governance: From UNEP towards a world environment organization,Global environmental governance: Perspectives on the current debate,,,103-123,2007,Center for UN Reform Education New York,10,8,Yes,Yes,Included,,Present in both surviving Stage 1 sheets.
