igo_id,igo_name
BRS,"Secretariat of the Basel, Rotterdam and Stockholm Conventions (BRS)"
CBD,Secretariat of the Convention on Biological Diversity (CBD)
CITES,Secretariat of the Convention on International Trade in Endangered Species of Wild Fauna and Flora (CITES)
CMS,Secretariat of the Convention on Migratory Species (CMS)
FAO,Food and Agriculture Organization of the United Nations (FAO)
IAEA,International Atomic Energy Agency (IAEA)
ICES,International Council for the Exploration of the Sea (ICES)
IFAD,International Fund for Agricultural Development (IFAD)
IHO,International Hydrographic Organization (IHO)
ILO,International Labour Organization (ILO)
IMF,International Monetary Fund (IMF)
IMO,Convention on the Intergovernmental Maritime Consultative Organization (IMO) Secretariat
IOC,Intergovernmental Oceanographic Commission (IOC)
IOM,International Organization for Migration (IOM)
IPBES,The Intergovernmental Science-Policy Platform on Biodiversity and Ecosystem Services (IPBES)
IPCC,IPCC
ISA,International Seabed Authority
ITC,International Trade Centre (ITC)
ITU,International Telecommunication Union (ITU)
MINAMATA,Minamata Convention on Mercury (Minamata)
OECD,Organisation for Economic Co-operation and Development (OECD)
RAMSAR,Ramsar Convention on Wetlands Secretariat (Ramsar)
UNCCD,Secretariat of the United Nations Convention to Combat Desertification (UNCCD)
UNCTAD,United Nations Conference on Trade and Development (UNCTAD)
UNDP,United Nations Development Programme (UNDP)
UNDRR,United Nations Office for Disaster Risk Reduction (UNDRR)
UNEP,United Nations Environment Programme (UNEP)
UNFCCC,Climate Change Secretariat
UNFPA,UN Population Fund (UNFPA)
UNGC,UN Global Compact Office
UNHCR_OHCHR,"Commissioner for Refugees (UNHCR), and the Office of the United Nations High Commissioner for Human Rights (OHCHR)"
UNICEF,United Nations Children’s Fund (UNICEF)
UNIDO,United Nations Industrial Development Organization (UNIDO)
UNODC,United Nations Office on Drugs and Crime (UNODC)
UNOOSA,United Nations Office for Outer Space Affairs (UNOOSA)
UNOPS,United Nations Office for Project Services (UNOPS)
UNRISD,UN Research Institute for Social Development (UNRISD)
UNU,United Nations University (UNU)
UNWTO,World Tourism Organization/UN Tourism (UNWTO)
UN_DOALOS,Division for Ocean Affairs and the Law of the Sea (UN DOALOS)
UN_HABITAT,United Nations Human Settlements Programme (UN-Habitat)
UN_WOMEN,UN Entity for Gender Equality and the Empowerment of Women (UN-Women)
WBG,World Bank Group (WBG)
WFP,World Food Programme (WFP)
WHO,World Health Organization (WHO)
WIPO,World Intellectual Property Organisation (WIPO)
WMO,World Meteorological Organization (WMO)
WTO,World Trade Organization (WTO)
