doc_id,igo_id,igo_name,doc_family,doc_type,original_filename,archive_filename,file_ext,file_bytes,sha256,page_count,extraction_method,extraction_quality_flag,pages_extracted,paragraphs_extracted,extraction_exceptions,source_url,access_date,source_note,public_file_included,public_release_status,retrieval_note
DOC_0001,ISA,International Seabed Authority,Foundational / legal,Agreement,Agreement-relating-to-the-imp-of-Part-XI-of-UNCLOS.pdf,ch04_doc_0001_isa_agreement_relating_to_the_imp_of_part_xi_of_unclos.pdf,.pdf,3540184,7a38037f1217f7869491bc648e38633a65157ea449bf7c611db94eefc0870d92,,pymupdf,error,0,0,130,,,,No,withheld_third_party_source_document,"Source URL and access date were not preserved in the supplied archive; locate the document using the issuing organisation, title/filename, document identifier, and SHA-256."
DOC_0002,IFAD,International Fund for Agricultural Development (IFAD),Foundational / legal,Agreement,Agreement_IFAD.pdf,ch04_doc_0002_ifad_agreement_ifad.pdf,.pdf,694212,b74072052a2c433988e869cd14517f3d2ecc1e43a28758a299647b3bc0ca3e3c,29.0,pymupdf,ok,29,105,0,,,,No,withheld_third_party_source_document,"Source URL and access date were not preserved in the supplied archive; locate the document using the issuing organisation, title/filename, document identifier, and SHA-256."
DOC_0003,BRS,"Secretariat of the Basel, Rotterdam and Stockholm Conventions (BRS)",Foundational / legal,Convention / treaty,BRS Convention.pdf,ch04_doc_0003_brs_brs_convention.pdf,.pdf,138889,6d411ee57726f03a03b3509027d191271024fb875618fd7e8d4da534823baf5f,12.0,pymupdf,ok,12,12,0,,,,No,withheld_third_party_source_document,"Source URL and access date were not preserved in the supplied archive; locate the document using the issuing organisation, title/filename, document identifier, and SHA-256."
DOC_0004,CBD,Secretariat of the Convention on Biological Diversity (CBD),Foundational / legal,Convention / treaty,CBD Convention.pdf,ch04_doc_0004_cbd_cbd_convention.pdf,.pdf,4551079,9acd3886bfb0b3c3a4d75b254b53dd4ab084d7ad59915f09f03bbe92cdc75517,36.0,pymupdf,ok,36,35,0,,,,No,withheld_third_party_source_document,"Source URL and access date were not preserved in the supplied archive; locate the document using the issuing organisation, title/filename, document identifier, and SHA-256."
DOC_0005,CITES,Secretariat of the Convention on International Trade in Endangered Species of Wild Fauna and Flora (CITES),Foundational / legal,Convention / treaty,CITES-Convention-EN.pdf,ch04_doc_0005_cites_cites_convention_en.pdf,.pdf,80367,02cc613103111642367658255552b5d504de466f8f7602177b9f42f96e47d927,16.0,pymupdf,ok,16,130,0,,,,No,withheld_third_party_source_document,"Source URL and access date were not preserved in the supplied archive; locate the document using the issuing organisation, title/filename, document identifier, and SHA-256."
DOC_0006,IOM,International Organization for Migration (IOM),Foundational / legal,Constitution,Constitution of the International Organization for Migration (1953; rev. 1989).pdf,ch04_doc_0006_iom_constitution_of_the_international_organization_for_migr.pdf,.pdf,609027,2f61eee6f11bc285f35e63d09e98aaf15aed3e8be82419ff3aed1c4661c61507,84.0,pymupdf,low_text,84,114,0,,,,No,withheld_third_party_source_document,"Source URL and access date were not preserved in the supplied archive; locate the document using the issuing organisation, title/filename, document identifier, and SHA-256."
DOC_0007,ITU,International Telecommunication Union (ITU),Foundational / legal,Constitution,Constitution of the ITU.pdf,ch04_doc_0007_itu_constitution_of_the_itu.pdf,.pdf,252544,e737c962504357370a05ad486d6d590ce190e3e5167d4cd32b23ca1be328b83e,66.0,pymupdf,ok,66,170,0,,,,No,withheld_third_party_source_document,"Source URL and access date were not preserved in the supplied archive; locate the document using the issuing organisation, title/filename, document identifier, and SHA-256."
DOC_0008,ITU,International Telecommunication Union (ITU),Foundational / legal,Convention / treaty,Convention ITU.pdf,ch04_doc_0008_itu_convention_itu.pdf,.pdf,340380,c180919b634e4cea59dfa7b8af1460dbb1660b07d3756e6208d7769aa561ce18,90.0,pymupdf,ok,90,220,0,,,,No,withheld_third_party_source_document,"Source URL and access date were not preserved in the supplied archive; locate the document using the issuing organisation, title/filename, document identifier, and SHA-256."
DOC_0009,CMS,Secretariat of the Convention on Migratory Species (CMS),Foundational / legal,Convention / treaty,Convention on the Conservation of Migratory Species of Wild Animals.PDF,ch04_doc_0009_cms_convention_on_the_conservation_of_migratory_species_of.pdf,.pdf,29985,76365426795274a3351b8b7ab61bc0ca494a7f0a9a2ed74284215fe754dc16f6,6.0,pymupdf,ok,6,9,0,,,,No,withheld_third_party_source_document,"Source URL and access date were not preserved in the supplied archive; locate the document using the issuing organisation, title/filename, document identifier, and SHA-256."
DOC_0010,IHO,International Hydrographic Organization (IHO),Foundational / legal,Convention / treaty,Convention_IHO.pdf,ch04_doc_0010_iho_convention_iho.pdf,.pdf,368702,f89d60726dbc7cbb57b6e0e49e7a3d75fe634745b5722f2e423c3d496e499575,14.0,pymupdf,ok,14,80,0,,,,No,withheld_third_party_source_document,"Source URL and access date were not preserved in the supplied archive; locate the document using the issuing organisation, title/filename, document identifier, and SHA-256."
DOC_0011,FAO,Food and Agriculture Organization of the United Nations (FAO),Foundational / legal,Document,FAO Basic Text.pdf,ch04_doc_0011_fao_fao_basic_text.pdf,.pdf,1602860,08988258fffd3e23ddf0ab7facf583708ff8a19ec143b9cae19af2d3584c5849,245.0,pymupdf,ok,245,352,0,,,,No,withheld_third_party_source_document,"Source URL and access date were not preserved in the supplied archive; locate the document using the issuing organisation, title/filename, document identifier, and SHA-256."
DOC_0012,IAEA,International Atomic Energy Agency (IAEA),Foundational / legal,Statute,IAEA Statute.pdf,ch04_doc_0012_iaea_iaea_statute.pdf,.pdf,2229230,b3667fd13228acb1b40e26a7e09bd60f4359594228ee3df7cd17e6ba70c9d9bd,77.0,pymupdf,low_text,77,76,0,,,,No,withheld_third_party_source_document,"Source URL and access date were not preserved in the supplied archive; locate the document using the issuing organisation, title/filename, document identifier, and SHA-256."
DOC_0013,ICES,International Council for the Exploration of the Sea (ICES),Foundational / legal,Convention / treaty,ICES_Convention_1964.pdf,ch04_doc_0013_ices_ices_convention_1964.pdf,.pdf,144950,e9de1aae372d2ba575ec31af76df6ecc5fcbd4cc7904f29663d83f0fc7e33893,4.0,pymupdf,ok,4,49,0,,,,No,withheld_third_party_source_document,"Source URL and access date were not preserved in the supplied archive; locate the document using the issuing organisation, title/filename, document identifier, and SHA-256."
DOC_0014,IHO,International Hydrographic Organization (IHO),Other / governance instrument,Document,IHO Basic document.pdf,ch04_doc_0014_iho_iho_basic_document.pdf,.pdf,996645,8b501f9e0356d28cd1f0df0be297362979b6c997eebbb1adb84285b95462a937,89.0,pymupdf,ok,89,437,0,,,,No,withheld_third_party_source_document,"Source URL and access date were not preserved in the supplied archive; locate the document using the issuing organisation, title/filename, document identifier, and SHA-256."
DOC_0015,ILO,International Labour Organization (ILO),Foundational / legal,Constitution,ILO Constitution.pdf,ch04_doc_0015_ilo_ilo_constitution.pdf,.pdf,340079,c8112b101ee34164a50fc8c2f35fdd0b94b600f950fe7739e4fa58aacce90a00,44.0,pymupdf,low_text,44,42,0,,,,No,withheld_third_party_source_document,"Source URL and access date were not preserved in the supplied archive; locate the document using the issuing organisation, title/filename, document identifier, and SHA-256."
DOC_0016,IMF,International Monetary Fund (IMF),Foundational / legal,Agreement,IMF article of agreement.pdf,ch04_doc_0016_imf_imf_article_of_agreement.pdf,.pdf,1101841,c99a65d66fc0528520b6a8b0691eb16f810ee8a7b84dcb03b0c6b7c405e6b6de,136.0,pymupdf,low_text,136,312,0,,,,No,withheld_third_party_source_document,"Source URL and access date were not preserved in the supplied archive; locate the document using the issuing organisation, title/filename, document identifier, and SHA-256."
DOC_0017,IMO,Convention on the Intergovernmental Maritime Consultative Organization (IMO) Secretariat,Foundational / legal,Convention / treaty,IMO Convention.pdf,ch04_doc_0017_imo_imo_convention.pdf,.pdf,1525777,8be6c5f1930e8baa35ba66ecedb8c24b515ce86508818ea1c636f86770ad3bcb,102.0,pymupdf,ok,102,93,0,,,,No,withheld_third_party_source_document,"Source URL and access date were not preserved in the supplied archive; locate the document using the issuing organisation, title/filename, document identifier, and SHA-256."
DOC_0018,ISA,International Seabed Authority,Other / governance instrument,Document,International Seabed Authority.pdf,ch04_doc_0018_isa_international_seabed_authority.pdf,.pdf,277122,81c29a2ba97838a9f904ec53c76a24bfd5007e3d76e36656ff22bf76bb238773,16.0,pymupdf,ok,16,16,0,,,,No,withheld_third_party_source_document,"Source URL and access date were not preserved in the supplied archive; locate the document using the issuing organisation, title/filename, document identifier, and SHA-256."
DOC_0019,IOC,Intergovernmental Oceanographic Commission (IOC),Foundational / legal,Statute,IOC Statute.pdf,ch04_doc_0019_ioc_ioc_statute.pdf,.pdf,164913,3ab69ce915ea96857a7688d8f548cebefd6bdb604f536923934760f366bda9b1,41.0,pymupdf,ok,41,41,0,,,,No,withheld_third_party_source_document,"Source URL and access date were not preserved in the supplied archive; locate the document using the issuing organisation, title/filename, document identifier, and SHA-256."
