log_id,timestamp_iso,coder_id,run_id,dictionary_version,tagset_version,export_version,igo,attribute_code_before,indicator_id_before,attribute_code_after,indicator_id_after,evidence_tier,doc_family_inferred,source_type,source_scope,article_section_page,source_uri,trigger_term,coder_action,retained_in_longfile,decision_rationale,review_note,trace_key,retrieval_set,attribute_code_final,coder_action_std,tfidf_cosine,retrieval_method,source_title_char_count,source_title_word_count,source_title_sha256,source_excerpt_char_count,source_excerpt_word_count,source_excerpt_sha256,public_text_fields_included,public_release_note
AT-P2-0000002,2024-11-01T08:58:00Z,IA,2024-11_partII_igo_coding_v1,dict_v1.2,attr_v1.0,audit_partII_v2,Intergovernmental Oceanographic Commission (IOC),YE,IND_YE_DATE,YE,IND_YE_DATE,Definition/Identification,Foundational legal instrument,Statute/Charter,—,—,—,established,Accept,Yes,Attribute definition stored at node to standardise interpretation and prevent construct drift across IGOs.,Definition note recorded in the codebook to anchor retrieval and coding to the theory-informed construct (see Table XX).,c2c13d9f1ef35daae5a856f479ad2531c4816586,attributes,YE,ACCEPT,0.18650937291160458,regex + TF-IDF cosine (ranking),83,10,ce68a6a84baa03a5f8adfb578e2defce8165f751826e068208c776a0307f2fb3,99,9,25b44bda7a426572872a93620649546fac0410efff47d0d56e16bf54583ea1c6,No,"Source-title strings and candidate excerpts withheld; coding decisions, locators, URLs, trigger terms, and cryptographic hashes retained."
AT-P2-0000003,2024-11-01T08:59:00Z,IA,2024-11_partII_igo_coding_v1,dict_v1.2,attr_v1.0,audit_partII_v2,Intergovernmental Oceanographic Commission (IOC),YE,IND_YE_DATE,YE,IND_YE_DATE,Explanation/Elaboration,Foundational legal instrument,Statute/Charter,—,—,—,established,Accept,Yes,Narrative explanation recorded to express how the attribute manifests in the IGO using standardised wording tied to the cited substantiation excerpts.,Explanation/Elaboration text corresponds to the final matrix cell narrative; substantiation lines are recorded in linked excerpt rows under the same IGO × attribute.,2d933f2dfccaf7a5808068ccec84a455c04d1f17,attributes,YE,ACCEPT,0.0,regex + TF-IDF cosine (ranking),83,10,ce68a6a84baa03a5f8adfb578e2defce8165f751826e068208c776a0307f2fb3,6,1,2a5abd737222f495b05a6584ba5c6aa24953f5e10f9e330d1614b88048eb1a39,No,"Source-title strings and candidate excerpts withheld; coding decisions, locators, URLs, trigger terms, and cryptographic hashes retained."
AT-P2-0000004,2024-11-01T09:00:00Z,IA,2024-11_partII_igo_coding_v1,dict_v1.2,attr_v1.0,audit_partII_v2,Intergovernmental Oceanographic Commission (IOC),YE,IND_YE_DATE,YE,IND_YE_DATE,Substantiation/References,Foundational legal instrument,Statute/Charter,—,Not specified (see narrative/citations in cell text),—,established,Accept,Yes,Checked for construct fit; retained with source pointer.,Founding instrument evidence: creation date recorded (Not specified (see narrative/citations in cell text)); retained as YE substantiation.,c70a53c36f12266c6c6d81fd5c19a33cb5e6e2de,attributes,YE,ACCEPT,0.0,regex + TF-IDF cosine (ranking),83,10,ce68a6a84baa03a5f8adfb578e2defce8165f751826e068208c776a0307f2fb3,6,1,2a5abd737222f495b05a6584ba5c6aa24953f5e10f9e330d1614b88048eb1a39,No,"Source-title strings and candidate excerpts withheld; coding decisions, locators, URLs, trigger terms, and cryptographic hashes retained."
AT-P2-0000005,2024-11-01T09:00:00Z,IA,2024-11_partII_igo_coding_v1,dict_v1.2,attr_v1.0,audit_partII_v2,Intergovernmental Oceanographic Commission (IOC),YE,IND_YE_DATE,YE,IND_YE_DATE,Substantiation/References,Other/unclear,Unspecified (see source_title/source_uri),—,Not specified (see narrative/citations in cell text),—,established,Accept,Yes,Substantiates matrix value; citation anchors preserved.,Founding instrument evidence: establishment year captured (Not specified (see narrative/citations in cell text)); value standardised for matrix cell.,16552af8410c8b1b549573cbb306e3cf4472ccb0,attributes,YE,ACCEPT,0.0,regex + TF-IDF cosine (ranking),47,5,485f64afbb8d29f9f867b56115eb8af2d362def58405c2efd1ebc1af4599215b,6,1,2a5abd737222f495b05a6584ba5c6aa24953f5e10f9e330d1614b88048eb1a39,No,"Source-title strings and candidate excerpts withheld; coding decisions, locators, URLs, trigger terms, and cryptographic hashes retained."
AT-P2-0000011,2024-11-01T18:54:16Z,IA,2024-11_partII_igo_coding_v1,dict_v1.2,attr_v1.0,audit_partII_v2,Intergovernmental Oceanographic Commission (IOC),SCL,IND_SCALE_GLOBAL,SCL,IND_SCALE_GLOBAL,Substantiation/References,Other/unclear,Unspecified (see source_title/source_uri),—,Not specified (see narrative/citations in cell text),—,global,Accept,Yes,Relevant to indicator; retained after contextual read-through.,Founding instrument evidence: mandate reach documented (Not specified (see narrative/citations in cell text)); supports global-layer case definition.,50d4cf168538bb7baf8ff6debc4b3bfa755a3270,scale_gate,SCL,ACCEPT,0.27002604662797214,regex + TF-IDF cosine (ranking),47,5,485f64afbb8d29f9f867b56115eb8af2d362def58405c2efd1ebc1af4599215b,6,1,a258b30f88c30650e73073d5bdde5cfcc6987100ae62d37789e5c46a0d85b7c6,No,"Source-title strings and candidate excerpts withheld; coding decisions, locators, URLs, trigger terms, and cryptographic hashes retained."
AT-P2-0000012,2024-11-02T04:28:48Z,IA,2024-11_partII_igo_coding_v1,dict_v1.2,attr_v1.0,audit_partII_v2,Intergovernmental Oceanographic Commission (IOC),SCL,IND_SCALE_GLOBAL,SCL,IND_SCALE_GLOBAL,Definition/Identification,Foundational legal instrument,Statute/Charter,—,—,—,global,Accept,Yes,Attribute definition stored at node to standardise interpretation and prevent construct drift across IGOs.,Definition note recorded in the codebook to anchor retrieval and coding to the theory-informed construct (see Table XX).,b35d8e098b12e363a51126927d20ca2e626df9ba,scale_gate,SCL,ACCEPT,0.3879581861171067,regex + TF-IDF cosine (ranking),83,10,ce68a6a84baa03a5f8adfb578e2defce8165f751826e068208c776a0307f2fb3,116,14,7c1cd40544d541306468286f27c891e4aa833b71eb6461fd6eed1e12f9ecd099,No,"Source-title strings and candidate excerpts withheld; coding decisions, locators, URLs, trigger terms, and cryptographic hashes retained."
AT-P2-0000013,2024-11-02T04:29:48Z,IA,2024-11_partII_igo_coding_v1,dict_v1.2,attr_v1.0,audit_partII_v2,Intergovernmental Oceanographic Commission (IOC),SCL,IND_SCALE_GLOBAL,SCL,IND_SCALE_GLOBAL,Explanation/Elaboration,Foundational legal instrument,Statute/Charter,—,—,—,global,Accept,Yes,Narrative explanation recorded to express how the attribute manifests in the IGO using standardised wording tied to the cited substantiation excerpts.,Explanation/Elaboration text corresponds to the final matrix cell narrative; substantiation lines are recorded in linked excerpt rows under the same IGO × attribute.,f24091074b46134d1aee02c65a145df1ba8a757f,scale_gate,SCL,ACCEPT,0.27002604662797214,regex + TF-IDF cosine (ranking),83,10,ce68a6a84baa03a5f8adfb578e2defce8165f751826e068208c776a0307f2fb3,6,1,a258b30f88c30650e73073d5bdde5cfcc6987100ae62d37789e5c46a0d85b7c6,No,"Source-title strings and candidate excerpts withheld; coding decisions, locators, URLs, trigger terms, and cryptographic hashes retained."
AT-P2-0000014,2024-11-02T04:30:48Z,IA,2024-11_partII_igo_coding_v1,dict_v1.2,attr_v1.0,audit_partII_v2,Intergovernmental Oceanographic Commission (IOC),SCL,IND_SCALE_GLOBAL,SCL,IND_SCALE_GLOBAL,Substantiation/References,Foundational legal instrument,Statute/Charter,—,Not specified (see narrative/citations in cell text),—,global,Accept,Yes,Accepted as best available evidence within tiered source hierarchy.,Founding instrument evidence: evidence of multi-basin/ABNJ remit (Not specified (see narrative/citations in cell text)); retained for Scale field.,da5f84091c0099dbb2bb31a9fa20dd3eac3c8032,scale_gate,SCL,ACCEPT,0.27002604662797214,regex + TF-IDF cosine (ranking),83,10,ce68a6a84baa03a5f8adfb578e2defce8165f751826e068208c776a0307f2fb3,6,1,a258b30f88c30650e73073d5bdde5cfcc6987100ae62d37789e5c46a0d85b7c6,No,"Source-title strings and candidate excerpts withheld; coding decisions, locators, URLs, trigger terms, and cryptographic hashes retained."
AT-P2-0000015,2024-11-02T04:48:32Z,IA,2024-11_partII_igo_coding_v1,dict_v1.2,attr_v1.0,audit_partII_v2,Intergovernmental Oceanographic Commission (IOC),SoJ,IND_SOJ_LEGAL,SoJ,IND_SOJ_LEGAL,Substantiation/References,Foundational legal instrument,Convention,—,Article s,https://treaties.un.org/doc/Publication/UNTS/Volume%204/volume-4-I-52-English.pdf,mandate,Accept,Yes,Checked for construct fit; retained with source pointer.,Founding instrument evidence: legal basis clause captured (Article s); coded as SoJ with citation anchor where available.,42329c725fa5eb535aef47eeb24d471f361acff2,attributes,SoJ,ACCEPT,0.007352642064425704,regex + TF-IDF cosine (ranking),146,24,2c7782ea2ad6d936fe48cac1768c82473b53588abdafdb0bbe2565318b9788da,465,49,7e82ebf3be9cc0a34256e144420a9de690521a5f1ea28237d6f7d4bbc6b6bd6a,No,"Source-title strings and candidate excerpts withheld; coding decisions, locators, URLs, trigger terms, and cryptographic hashes retained."
AT-P2-0000016,2024-11-02T09:45:40Z,IA,2024-11_partII_igo_coding_v1,dict_v1.2,attr_v1.0,audit_partII_v2,Intergovernmental Oceanographic Commission (IOC),SoJ,IND_SOJ_LEGAL,SoJ,IND_SOJ_LEGAL,Substantiation/References,Foundational legal instrument,Convention,—,Article s,https://unesdoc.unesco.org/ark:/48223/pf0000114583,mandate,Accept,Yes,Accepted as best available evidence within tiered source hierarchy.,Founding instrument evidence: legal basis clause captured (Article s); coded as SoJ with citation anchor where available.,945ccaf524416b841a5751f3c6ae371d5bbda8f0,attributes,SoJ,ACCEPT,0.0074030539749238376,regex + TF-IDF cosine (ranking),146,24,2c7782ea2ad6d936fe48cac1768c82473b53588abdafdb0bbe2565318b9788da,432,49,ed9cfa063b2669fe5489bbaebc29e9f0dc652126303db6ba00a2768d2f39504e,No,"Source-title strings and candidate excerpts withheld; coding decisions, locators, URLs, trigger terms, and cryptographic hashes retained."
