institution,year_founded
Intergovernmental Oceanographic Commission (IOC),1960
Food and Agriculture Organization of the United Nations (FAO),1945
Convention on the Intergovernmental Maritime Consultative Organization (IMO) Secretariat,1948
Division for Ocean Affairs and the Law of the Sea (UN DOALOS),1992
Climate Change Secretariat,1992
International Seabed Authority,1994
United Nations Environment Programme (UNEP),1972
United Nations Development Programme (UNDP),1965
United Nations Conference on Trade and Development (UNCTAD),1964
"United Nations Industrial Development Organization (UNIDO),",1966
International Labour Organization (ILO),1919
 International Telecommunication Union (ITU),1865
United Nations Children’s Fund (UNICEF) ,1953
World Health Organization (WHO) ,1948
"Commissioner for Refugees (UNHCR), and the Office of the United Nations High Commissioner for Human Rights (OHCHR)",1993
United Nations Office for Disaster Risk Reduction (UNDRR),1999
UN Global Compact Office,2000
International Atomic Energy Agency (IAEA),1957
World Meteorological Organization (WMO),1947
Organisation for Economic Co-operation and Development (OECD),1961
 World Bank Group (WBG) ,1944
International Monetary Fund (IMF),1944
International Hydrographic Organization (IHO) ,1921
 International Council for the Exploration of the Sea (ICES),1902
The Intergovernmental Science-Policy Platform on Biodiversity and Ecosystem Services (IPBES),2012
IPCC,1988
World Trade Organization (WTO) ,1995
"International Organization for Migration (IOM)

",1951
United Nations Office for Project Services (UNOPS),1994
UN Entity for Gender Equality and the Empowerment of Women (UN-Women),2010
World Intellectual Property Organisation (WIPO),1967
UN Population Fund (UNFPA),1967
United Nations Human Settlements Programme (UN-Habitat),1977
World Food Programme (WFP),1961
World Tourism Organization/UN Tourism (UNWTO),1946
UN Research Institute for Social Development (UNRISD),1963
"Secretariat of the Basel, Rotterdam and Stockholm Conventions (BRS)


",2012
"Secretariat of the Convention on Biological Diversity (CBD)

",1992
"
Secretariat of the Convention on International Trade in Endangered Species of Wild Fauna and Flora (CITES)

",1973
"
Secretariat of the Convention on Migratory Species (CMS)",1983
International Fund for Agricultural Development (IFAD),1976
"
International Trade Centre (ITC)",1964
Secretariat of the United Nations Convention to Combat Desertification (UNCCD),1994
United Nations University (UNU),1972
Ramsar Convention on Wetlands Secretariat (Ramsar) ,1971
Minamata Convention on Mercury (Minamata),2013
United Nations Office for Outer Space Affairs (UNOOSA),1958
United Nations Office on Drugs and Crime (UNODC),1997
