package,source
broom,CRAN (unless otherwise specified)
dplyr,CRAN (unless otherwise specified)
factoextra,CRAN (unless otherwise specified)
FactoMineR,CRAN (unless otherwise specified)
forcats,CRAN (unless otherwise specified)
ggalluvial,CRAN (unless otherwise specified)
ggeffects,CRAN (unless otherwise specified)
ggplot2,CRAN (unless otherwise specified)
ggrepel,CRAN (unless otherwise specified)
gt,CRAN (unless otherwise specified)
htmlwidgets,CRAN (unless otherwise specified)
janitor,CRAN (unless otherwise specified)
openxlsx,CRAN (unless otherwise specified)
readxl,CRAN (unless otherwise specified)
stopwords,CRAN (unless otherwise specified)
renv,CRAN (unless otherwise specified)
knitr,CRAN (unless otherwise specified)
lmtest,CRAN (unless otherwise specified)
lubridate,CRAN (unless otherwise specified)
networkD3,CRAN (unless otherwise specified)
patchwork,CRAN (unless otherwise specified)
plotly,CRAN (unless otherwise specified)
purrr,CRAN (unless otherwise specified)
readr,CRAN (unless otherwise specified)
sandwich,CRAN (unless otherwise specified)
scales,CRAN (unless otherwise specified)
stringr,CRAN (unless otherwise specified)
tidyr,CRAN (unless otherwise specified)
tidyverse,CRAN (unless otherwise specified)
viridis,CRAN (unless otherwise specified)
webshot2,CRAN (unless otherwise specified)
digest,CRAN (unless otherwise specified)
