institution,spatial_jurisdiction__internal_waters,spatial_jurisdiction__coastal_zone,spatial_jurisdiction__territorial_sea_ts,spatial_jurisdiction__contiguous_zone_cz,spatial_jurisdiction__exclusive_economic_zone_eez,spatial_jurisdiction__extended_continental_shelf_cs,spatial_jurisdiction__the_area,spatial_jurisdiction__high_seas,spatial_jurisdiction__archipelago,spatial_jurisdiction__enclosed_or_semi_enclosed_sea,subject_matter_jurisdiction__environmental_protection_and_climate_change,subject_matter_jurisdiction__sustainable_development_and_capacity_building,subject_matter_jurisdiction__international_cooperation_and_governance,subject_matter_jurisdiction__research_science_and_innovation,subject_matter_jurisdiction__biodiversity_and_ecosystem_conservation,subject_matter_jurisdiction__trade_investment_and_economic_cooperation,subject_matter_jurisdiction__human_rights_social_justice_and_advocacy,subject_matter_jurisdiction__security_and_safety,subject_matter_jurisdiction__disaster_risk_reduction_and_resilience,subject_matter_jurisdiction__cultural_heritage_traditional_knowledge_and_data_governance,sources_of_jurisdiction__foundational_treaties_and_charters,sources_of_jurisdiction__binding_secondary_law,sources_of_jurisdiction__non_binding_secondary_law,sources_of_jurisdiction__technical_norms_and_standards,sources_of_jurisdiction__strategic_frameworks,sources_of_jurisdiction__compliance_and_oversight,sources_of_jurisdiction__delegated_or_derived_powers,sources_of_jurisdiction__customary_and_soft_law,sources_of_jurisdiction__bilateral_multilateral_arrangements,sources_of_jurisdiction__other_governance_instruments,defined_objectives__governance_and_planning,defined_objectives__financial_stewardship,defined_objectives__policy_and_regulation,defined_objectives__environmental_action,defined_objectives__knowledge_and_data,defined_objectives__innovation_and_technology,defined_objectives__inclusion_and_rights,defined_objectives__partnerships_and_networks,defined_objectives__operational_delivery,defined_objectives__monitoring_and_accountability,strategies__strategic_and_institutional_planning,strategies__financial_and_budgetary_management,strategies__policy_regulation_and_legal_frameworks,strategies__environmental_climate_and_biodiversity_action,strategies__knowledge_research_and_data_systems,strategies__innovation_and_technology_development,strategies__inclusion_rights_and_social_justice,strategies__capacity_development_and_operational_delivery,strategies__collaboration_partnerships_and_networks,strategies__monitoring_evaluation_and_accountability,defined_interinstitutional_relationships__un_system_collaboration,defined_interinstitutional_relationships__regional_body_coordination,defined_interinstitutional_relationships__ngo_engagement,defined_interinstitutional_relationships__private_sector_partnerships,defined_interinstitutional_relationships__scientific_community_linkages,defined_interinstitutional_relationships__treaty_body_coordination,defined_interinstitutional_relationships__donor_partnerships,defined_interinstitutional_relationships__civil_society_engagement,defined_interinstitutional_relationships__intergovernmental_consultations,defined_interinstitutional_relationships__technical_or_expert_groups,vertical_coordination__un_to_member_states,vertical_coordination__global_regional_national_coordination,vertical_coordination__intergovernmental_to_national_institutions,vertical_coordination__technical_assistance_to_states,vertical_coordination__policy_alignment_with_national_plans,vertical_coordination__regional_implementing_partners,vertical_coordination__reporting_and_compliance_mechanisms,vertical_coordination__multi_level_planning_structures,vertical_coordination__data_integration_systems,vertical_coordination__sectoral_to_national_coordination,horizontal_coordination__cross_sectoral_collaboration,horizontal_coordination__thematic_working_groups,horizontal_coordination__joint_research_and_projects,horizontal_coordination__shared_monitoring_frameworks,horizontal_coordination__multi_stakeholder_platforms,horizontal_coordination__inter_agency_technical_cooperation,horizontal_coordination__regional_economic_community_coordination,horizontal_coordination__advocacy_and_communication,horizontal_coordination__cross_border_initiatives,horizontal_coordination__peer_to_peer_learning_mechanisms
Intergovernmental Oceanographic Commission (IOC),0.0,7.5,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,4.0,6.666666666667,10.0,3.333333333333,0.0,0.0,0.0,0.0,0.0,8.333333333333,5.833333333333,6.666666666667,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,10.0,3.333333333333,0.0,2.5,0.0,2.5,5.0,1.666666666667,0.0,2.0,0.0,2.5,0.0,7.5,1.666666666667,0.0,10.0,0.0,10.0,0.0,3.333333333333,2.5,1.666666666667,5.0,3.333333333333,5.0,6.666666666667,0.0,10.0,2.0,0.0,3.333333333333,0.0,5.0,0.0,0.0,5.0,10.0,0.0,10.0,5.0,3.333333333333,0.0,6.0,0.0,0.0
Food and Agriculture Organization of the United Nations (FAO),10.0,7.5,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,2.0,2.0,3.333333333333,1.666666666667,1.666666666667,0.0,0.0,0.0,0.0,0.0,8.333333333333,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,2.5,2.5,7.5,3.333333333333,0.0,0.0,0.0,2.5,5.0,5.0,5.0,4.0,0.0,5.0,0.0,2.5,5.0,0.0,6.0,0.0,5.0,0.0,10.0,2.5,1.666666666667,10.0,3.333333333333,5.0,3.333333333333,0.0,10.0,4.0,10.0,6.666666666667,0.0,5.0,0.0,0.0,5.0,10.0,0.0,10.0,5.0,3.333333333333,0.0,4.0,0.0,0.0
Convention on the Intergovernmental Maritime Consultative Organization (IMO) Secretariat,10.0,7.5,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,4.0,4.0,3.333333333333,5.0,0.0,4.0,0.0,10.0,0.0,0.0,7.5,7.5,5.555555555556,8.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,0.0,2.5,0.0,2.5,8.333333333333,3.333333333333,5.0,6.0,0.0,2.5,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,3.333333333333,2.5,3.333333333333,5.0,6.666666666667,5.0,6.666666666667,0.0,10.0,10.0,0.0,6.666666666667,0.0,5.0,0.0,10.0,5.0,10.0,0.0,0.0,5.0,3.333333333333,5.0,6.0,0.0,0.0
Division for Ocean Affairs and the Law of the Sea (UN DOALOS),0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,4.0,2.0,0.0,0.0,3.333333333333,0.0,0.0,0.0,0.0,0.0,6.666666666667,0.0,0.0,0.0,0.0,7.5,0.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,2.5,0.0,0.0,0.0,6.666666666667,0.0,5.0,0.0,7.5,4.0,3.333333333333,2.5,0.0,0.0,0.0,3.333333333333,0.0,2.5,0.0,0.0,3.333333333333,2.5,1.666666666667,0.0,0.0,5.0,3.333333333333,0.0,10.0,10.0,0.0,0.0,5.0,0.0,0.0,10.0,5.0,10.0,0.0,0.0,5.0,10.0,5.0,6.0,0.0,5.0
Climate Change Secretariat,10.0,7.5,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,4.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,5.0,6.666666666667,2.5,0.0,0.0,0.0,0.0,0.0,6.666666666667,0.0,6.666666666667,5.0,2.5,0.0,0.0,7.5,0.0,5.0,0.0,0.0,10.0,2.5,0.0,0.0,3.333333333333,5.0,0.0,0.0,3.333333333333,0.0,3.333333333333,0.0,10.0,0.0,0.0,6.666666666667,0.0,0.0,0.0,0.0,5.0,10.0,0.0,10.0,0.0,0.0,0.0,2.0,0.0,0.0
International Seabed Authority,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,4.0,0.0,6.666666666667,8.333333333333,0.0,0.0,0.0,0.0,0.0,0.0,6.666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,5.0,10.0,10.0,0.0,0.0,0.0,2.5,0.0,6.666666666667,0.0,6.666666666667,1.666666666667,5.0,0.0,3.333333333333,0.0,0.0,5.0,0.0,0.0,8.0,5.0,0.0,0.0,0.0,2.5,0.0,0.0,6.666666666667,0.0,3.333333333333,0.0,10.0,6.0,0.0,6.666666666667,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
United Nations Environment Programme (UNEP),10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,8.0,4.0,10.0,3.333333333333,3.333333333333,0.0,0.0,0.0,0.0,0.0,6.666666666667,0.0,6.666666666667,0.0,0.0,0.0,10.0,0.0,10.0,0.0,5.0,0.0,5.0,7.5,7.5,3.333333333333,0.0,5.0,10.0,0.0,5.0,3.333333333333,5.0,10.0,3.333333333333,2.5,0.0,5.0,5.0,0.0,8.0,2.5,0.0,0.0,0.0,2.5,1.666666666667,5.0,0.0,0.0,3.333333333333,0.0,10.0,0.0,0.0,6.666666666667,0.0,5.0,0.0,0.0,5.0,10.0,0.0,10.0,5.0,3.333333333333,0.0,0.0,0.0,0.0
United Nations Development Programme (UNDP),0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,8.0,4.0,3.333333333333,0.0,3.333333333333,2.0,10.0,0.0,5.0,0.0,0.0,7.5,6.666666666667,0.0,0.0,10.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,3.333333333333,0.0,10.0,6.666666666667,0.0,8.333333333333,5.0,2.5,4.0,0.0,7.5,6.666666666667,0.0,3.333333333333,0.0,4.0,2.5,0.0,10.0,0.0,2.5,3.333333333333,10.0,0.0,5.0,3.333333333333,0.0,10.0,0.0,10.0,6.666666666667,2.5,5.0,0.0,0.0,5.0,10.0,0.0,0.0,5.0,0.0,5.0,6.0,0.0,0.0
United Nations Conference on Trade and Development (UNCTAD),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,3.333333333333,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,5.555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,6.666666666667,0.0,0.0,6.666666666667,0.0,5.0,3.333333333333,0.0,0.0,0.0,2.5,0.0,0.0,3.333333333333,0.0,6.0,5.0,0.0,0.0,3.333333333333,0.0,3.333333333333,5.0,6.666666666667,5.0,6.666666666667,0.0,10.0,4.0,0.0,6.666666666667,0.0,0.0,0.0,0.0,5.0,10.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
United Nations Industrial Development Organization (UNIDO),10.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,4.0,8.0,6.666666666667,3.333333333333,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,5.555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.5,5.0,6.666666666667,0.0,5.0,6.666666666667,0.0,5.0,1.666666666667,2.5,0.0,0.0,7.5,10.0,5.0,5.0,0.0,10.0,5.0,0.0,6.666666666667,0.0,2.5,3.333333333333,10.0,6.666666666667,5.0,3.333333333333,0.0,10.0,0.0,0.0,6.666666666667,0.0,5.0,0.0,0.0,5.0,10.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
