institution,ordinal_score_defined_interinstitutional_relationships,un_system_collaboration__within_igo,regional_body_coordination__within_igo,ngo_engagement__within_igo,private_sector_partnerships__within_igo,scientific_community_linkages__within_igo,treaty_body_coordination__within_igo,donor_partnerships__within_igo,civil_society_engagement__within_igo,intergovernmental_consultations__within_igo,technical_or_expert_groups__within_igo,un_system_collaboration__across_igo,regional_body_coordination__across_igo,ngo_engagement__across_igo,private_sector_partnerships__across_igo,scientific_community_linkages__across_igo,treaty_body_coordination__across_igo,donor_partnerships__across_igo,civil_society_engagement__across_igo,intergovernmental_consultations__across_igo,technical_or_expert_groups__across_igo
Intergovernmental Oceanographic Commission (IOC),8,10.0,0.0,3.333333333333,0.0,1.666666666667,1.666666666667,1.666666666667,1.666666666667,1.666666666667,1.666666666667,10.0,0.0,10.0,0.0,3.333333333333,2.5,1.666666666667,5.0,3.333333333333,5.0
Food and Agriculture Organization of the United Nations (FAO),6,10.0,0.0,2.5,0.0,7.5,2.5,2.5,5.0,2.5,2.5,6.0,0.0,5.0,0.0,10.0,2.5,1.666666666667,10.0,3.333333333333,5.0
Convention on the Intergovernmental Maritime Consultative Organization (IMO) Secretariat,8,10.0,0.0,3.333333333333,0.0,1.666666666667,1.666666666667,3.333333333333,1.666666666667,3.333333333333,1.666666666667,10.0,0.0,10.0,0.0,3.333333333333,2.5,3.333333333333,5.0,6.666666666667,5.0
Division for Ocean Affairs and the Law of the Sea (UN DOALOS),6,10.0,10.0,0.0,0.0,10.0,10.0,10.0,0.0,0.0,10.0,0.0,2.5,0.0,0.0,3.333333333333,2.5,1.666666666667,0.0,0.0,5.0
Climate Change Secretariat,5,10.0,1.666666666667,0.0,0.0,1.666666666667,3.333333333333,0.0,0.0,1.666666666667,0.0,10.0,2.5,0.0,0.0,3.333333333333,5.0,0.0,0.0,3.333333333333,0.0
International Seabed Authority,4,10.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,8.0,5.0,0.0,0.0,0.0,2.5,0.0,0.0,6.666666666667,0.0
United Nations Environment Programme (UNEP),5,10.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,8.0,2.5,0.0,0.0,0.0,2.5,1.666666666667,5.0,0.0,0.0
United Nations Development Programme (UNDP),7,10.0,3.333333333333,0.0,10.0,0.0,3.333333333333,6.666666666667,6.666666666667,0.0,3.333333333333,4.0,2.5,0.0,10.0,0.0,2.5,3.333333333333,10.0,0.0,5.0
United Nations Conference on Trade and Development (UNCTAD),7,10.0,5.0,0.0,0.0,2.5,0.0,5.0,2.5,5.0,2.5,6.0,5.0,0.0,0.0,3.333333333333,0.0,3.333333333333,5.0,6.666666666667,5.0
United Nations Industrial Development Organization (UNIDO),8,10.0,3.333333333333,0.0,3.333333333333,0.0,1.666666666667,3.333333333333,3.333333333333,3.333333333333,1.666666666667,10.0,5.0,0.0,6.666666666667,0.0,2.5,3.333333333333,10.0,6.666666666667,5.0
International Labour Organization (ILO),6,10.0,4.0,0.0,4.0,0.0,2.0,4.0,0.0,2.0,0.0,8.0,5.0,0.0,6.666666666667,0.0,2.5,3.333333333333,0.0,3.333333333333,0.0
International Telecommunication Union (ITU),8,10.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,4.0,8.0,2.5,0.0,3.333333333333,3.333333333333,2.5,0.0,5.0,3.333333333333,10.0
United Nations Children’s Fund (UNICEF),5,10.0,1.666666666667,0.0,0.0,0.0,1.666666666667,3.333333333333,1.666666666667,0.0,0.0,10.0,2.5,0.0,0.0,0.0,2.5,3.333333333333,5.0,0.0,0.0
World Health Organization (WHO),5,10.0,0.0,0.0,0.0,0.0,1.666666666667,3.333333333333,1.666666666667,0.0,1.666666666667,10.0,0.0,0.0,0.0,0.0,2.5,3.333333333333,5.0,0.0,5.0
"Commissioner for Refugees (UNHCR), and the Office of the United Nations High Commissioner for Human Rights (OHCHR)",6,10.0,6.666666666667,0.0,0.0,0.0,10.0,0.0,6.666666666667,6.666666666667,3.333333333333,4.0,5.0,0.0,0.0,0.0,7.5,0.0,10.0,6.666666666667,5.0
United Nations Office for Disaster Risk Reduction (UNDRR),8,10.0,2.5,0.0,5.0,2.5,2.5,0.0,5.0,2.5,5.0,6.0,2.5,0.0,6.666666666667,3.333333333333,2.5,0.0,10.0,3.333333333333,10.0
UN Global Compact Office,4,10.0,2.5,0.0,5.0,0.0,0.0,0.0,2.5,0.0,0.0,6.0,2.5,0.0,6.666666666667,0.0,0.0,0.0,5.0,0.0,0.0
International Atomic Energy Agency (IAEA),6,10.0,3.333333333333,0.0,0.0,0.0,1.666666666667,0.0,1.666666666667,3.333333333333,1.666666666667,10.0,5.0,0.0,0.0,0.0,2.5,0.0,5.0,6.666666666667,5.0
World Meteorological Organization (WMO),8,10.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,8.0,2.5,0.0,3.333333333333,3.333333333333,2.5,1.666666666667,5.0,0.0,5.0
Organisation for Economic Co-operation and Development (OECD),4,5.0,5.0,0.0,0.0,0.0,5.0,10.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,2.5,3.333333333333,0.0,0.0,0.0
World Bank Group (WBG),6,3.333333333333,0.0,0.0,6.666666666667,3.333333333333,0.0,10.0,6.666666666667,0.0,3.333333333333,0.0,0.0,0.0,6.666666666667,3.333333333333,0.0,5.0,10.0,0.0,5.0
International Monetary Fund (IMF),4,10.0,3.333333333333,0.0,0.0,0.0,0.0,10.0,0.0,0.0,3.333333333333,4.0,2.5,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0
International Hydrographic Organization (IHO),6,10.0,1.666666666667,0.0,0.0,1.666666666667,0.0,0.0,1.666666666667,3.333333333333,1.666666666667,10.0,2.5,0.0,0.0,3.333333333333,0.0,0.0,5.0,6.666666666667,5.0
International Council for the Exploration of the Sea (ICES),7,10.0,2.0,0.0,0.0,2.0,2.0,4.0,2.0,4.0,0.0,8.0,2.5,0.0,0.0,3.333333333333,2.5,3.333333333333,5.0,6.666666666667,0.0
The Intergovernmental Science-Policy Platform on Biodiversity and Ecosystem Services (IPBES),7,10.0,5.0,10.0,0.0,5.0,5.0,5.0,10.0,0.0,0.0,2.0,2.5,10.0,0.0,3.333333333333,2.5,1.666666666667,10.0,0.0,0.0
IPCC,5,10.0,0.0,0.0,0.0,1.666666666667,5.0,0.0,0.0,3.333333333333,3.333333333333,10.0,0.0,0.0,0.0,3.333333333333,7.5,0.0,0.0,6.666666666667,10.0
World Trade Organization (WTO),7,10.0,0.0,0.0,0.0,2.5,2.5,5.0,2.5,5.0,2.5,6.0,0.0,0.0,0.0,3.333333333333,2.5,3.333333333333,5.0,6.666666666667,5.0
International Organization for Migration (IOM),6,10.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,8.0,0.0,0.0,0.0,0.0,2.5,1.666666666667,5.0,3.333333333333,5.0
United Nations Office for Project Services (UNOPS),7,2.5,2.5,5.0,5.0,0.0,2.5,10.0,0.0,0.0,2.5,0.0,2.5,10.0,6.666666666667,0.0,2.5,6.666666666667,0.0,0.0,5.0
UN Entity for Gender Equality and the Empowerment of Women (UN-Women),7,10.0,1.666666666667,0.0,0.0,1.666666666667,1.666666666667,0.0,3.333333333333,3.333333333333,1.666666666667,10.0,2.5,0.0,0.0,3.333333333333,2.5,0.0,10.0,6.666666666667,5.0
World Intellectual Property Organisation (WIPO),5,10.0,2.5,0.0,0.0,0.0,2.5,0.0,0.0,7.5,2.5,6.0,2.5,0.0,0.0,0.0,2.5,0.0,0.0,10.0,5.0
UN Population Fund (UNFPA),5,10.0,0.0,0.0,5.0,0.0,0.0,10.0,5.0,0.0,2.5,6.0,0.0,0.0,6.666666666667,0.0,0.0,6.666666666667,10.0,0.0,5.0
United Nations Human Settlements Programme (UN-Habitat),6,10.0,5.0,0.0,10.0,0.0,0.0,0.0,10.0,5.0,5.0,2.0,2.5,0.0,6.666666666667,0.0,0.0,0.0,10.0,3.333333333333,5.0
World Food Programme (WFP),3,10.0,7.5,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,6.0,7.5,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
World Tourism Organization/UN Tourism (UNWTO),5,10.0,4.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,8.0,5.0,0.0,0.0,0.0,2.5,1.666666666667,0.0,3.333333333333,0.0
UN Research Institute for Social Development (UNRISD),5,10.0,2.0,0.0,4.0,2.0,0.0,0.0,4.0,0.0,0.0,8.0,2.5,0.0,6.666666666667,3.333333333333,0.0,0.0,10.0,0.0,0.0
"Secretariat of the Basel, Rotterdam and Stockholm Conventions (BRS)",8,10.0,1.666666666667,3.333333333333,3.333333333333,3.333333333333,5.0,0.0,3.333333333333,0.0,1.666666666667,10.0,2.5,10.0,6.666666666667,6.666666666667,7.5,0.0,10.0,0.0,5.0
Secretariat of the Convention on Biological Diversity (CBD),5,10.0,2.0,0.0,0.0,0.0,8.0,4.0,0.0,2.0,0.0,8.0,2.5,0.0,0.0,0.0,10.0,3.333333333333,0.0,3.333333333333,0.0
Secretariat of the Convention on International Trade in Endangered Species of Wild Fauna and Flora (CITES),7,10.0,0.0,5.0,5.0,2.5,7.5,0.0,5.0,0.0,2.5,6.0,0.0,10.0,6.666666666667,3.333333333333,7.5,0.0,10.0,0.0,5.0
Secretariat of the Convention on Migratory Species (CMS),6,6.666666666667,3.333333333333,6.666666666667,10.0,3.333333333333,6.666666666667,0.0,0.0,0.0,0.0,2.0,2.5,10.0,10.0,3.333333333333,5.0,0.0,0.0,0.0,0.0
International Fund for Agricultural Development (IFAD),5,5.0,6.666666666667,0.0,0.0,0.0,1.666666666667,10.0,0.0,0.0,1.666666666667,4.0,10.0,0.0,0.0,0.0,2.5,10.0,0.0,0.0,5.0
International Trade Centre (ITC),7,10.0,2.5,0.0,7.5,5.0,0.0,10.0,0.0,5.0,2.5,6.0,2.5,0.0,10.0,6.666666666667,0.0,6.666666666667,0.0,6.666666666667,5.0
Secretariat of the United Nations Convention to Combat Desertification (UNCCD),2,10.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
United Nations University (UNU),4,6.666666666667,3.333333333333,0.0,0.0,6.666666666667,0.0,10.0,0.0,0.0,0.0,2.0,2.5,0.0,0.0,6.666666666667,0.0,5.0,0.0,0.0,0.0
Ramsar Convention on Wetlands Secretariat (Ramsar),7,10.0,1.666666666667,3.333333333333,0.0,1.666666666667,5.0,3.333333333333,0.0,5.0,0.0,10.0,2.5,10.0,0.0,3.333333333333,7.5,3.333333333333,0.0,10.0,0.0
Minamata Convention on Mercury (Minamata),3,10.0,0.0,0.0,2.5,0.0,2.5,0.0,0.0,0.0,0.0,6.0,0.0,0.0,3.333333333333,0.0,2.5,0.0,0.0,0.0,0.0
United Nations Office for Outer Space Affairs (UNOOSA),8,10.0,2.5,5.0,5.0,2.5,5.0,0.0,0.0,5.0,2.5,6.0,2.5,10.0,6.666666666667,3.333333333333,5.0,0.0,0.0,6.666666666667,5.0
United Nations Office on Drugs and Crime (UNODC),7,10.0,3.333333333333,6.666666666667,0.0,0.0,0.0,6.666666666667,3.333333333333,3.333333333333,3.333333333333,4.0,2.5,10.0,0.0,0.0,0.0,3.333333333333,5.0,3.333333333333,5.0
