institution,ordinal_score_strategies,strategic_and_institutional_planning__within_igo,financial_and_budgetary_management__within_igo,policy_regulation_and_legal_frameworks__within_igo,environmental_climate_and_biodiversity_action__within_igo,knowledge_research_and_data_systems__within_igo,innovation_and_technology_development__within_igo,inclusion_rights_and_social_justice__within_igo,capacity_development_and_operational_delivery__within_igo,collaboration_partnerships_and_networks__within_igo,monitoring_evaluation_and_accountability__within_igo,strategic_and_institutional_planning__across_igo,financial_and_budgetary_management__across_igo,policy_regulation_and_legal_frameworks__across_igo,environmental_climate_and_biodiversity_action__across_igo,knowledge_research_and_data_systems__across_igo,innovation_and_technology_development__across_igo,inclusion_rights_and_social_justice__across_igo,capacity_development_and_operational_delivery__across_igo,collaboration_partnerships_and_networks__across_igo,monitoring_evaluation_and_accountability__across_igo
Intergovernmental Oceanographic Commission (IOC),6,10.0,3.333333333333,0.0,3.333333333333,0.0,3.333333333333,0.0,10.0,3.333333333333,0.0,5.0,1.666666666667,0.0,2.0,0.0,2.5,0.0,7.5,1.666666666667,0.0
Food and Agriculture Organization of the United Nations (FAO),7,10.0,10.0,6.666666666667,6.666666666667,0.0,6.666666666667,0.0,3.333333333333,10.0,0.0,5.0,5.0,5.0,4.0,0.0,5.0,0.0,2.5,5.0,0.0
Convention on the Intergovernmental Maritime Consultative Organization (IMO) Secretariat,4,10.0,4.0,4.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,8.333333333333,3.333333333333,5.0,6.0,0.0,2.5,0.0,0.0,0.0,0.0
Division for Ocean Affairs and the Law of the Sea (UN DOALOS),6,10.0,0.0,10.0,6.666666666667,6.666666666667,3.333333333333,0.0,0.0,0.0,6.666666666667,5.0,0.0,7.5,4.0,3.333333333333,2.5,0.0,0.0,0.0,3.333333333333
Climate Change Secretariat,4,10.0,7.5,2.5,0.0,0.0,7.5,0.0,5.0,0.0,0.0,6.666666666667,5.0,2.5,0.0,0.0,7.5,0.0,5.0,0.0,0.0
International Seabed Authority,5,10.0,2.5,5.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,6.666666666667,1.666666666667,5.0,0.0,3.333333333333,0.0,0.0,5.0,0.0,0.0
United Nations Environment Programme (UNEP),8,6.0,4.0,4.0,10.0,4.0,2.0,0.0,4.0,6.0,0.0,5.0,3.333333333333,5.0,10.0,3.333333333333,2.5,0.0,5.0,5.0,0.0
United Nations Development Programme (UNDP),6,10.0,6.0,2.0,4.0,0.0,6.0,4.0,0.0,4.0,0.0,8.333333333333,5.0,2.5,4.0,0.0,7.5,6.666666666667,0.0,3.333333333333,0.0
United Nations Conference on Trade and Development (UNCTAD),4,10.0,6.666666666667,0.0,0.0,0.0,3.333333333333,0.0,0.0,6.666666666667,0.0,5.0,3.333333333333,0.0,0.0,0.0,2.5,0.0,0.0,3.333333333333,0.0
United Nations Industrial Development Organization (UNIDO),6,10.0,3.333333333333,3.333333333333,0.0,0.0,10.0,10.0,6.666666666667,10.0,0.0,5.0,1.666666666667,2.5,0.0,0.0,7.5,10.0,5.0,5.0,0.0
International Labour Organization (ILO),6,10.0,5.0,5.0,0.0,0.0,2.5,2.5,0.0,5.0,0.0,6.666666666667,3.333333333333,5.0,0.0,0.0,2.5,3.333333333333,0.0,3.333333333333,0.0
International Telecommunication Union (ITU),6,7.5,5.0,7.5,0.0,2.5,7.5,0.0,0.0,10.0,0.0,5.0,3.333333333333,7.5,0.0,1.666666666667,7.5,0.0,0.0,6.666666666667,0.0
United Nations Children’s Fund (UNICEF),9,10.0,1.666666666667,3.333333333333,0.0,6.666666666667,5.0,5.0,3.333333333333,3.333333333333,5.0,10.0,1.666666666667,5.0,0.0,6.666666666667,7.5,10.0,5.0,3.333333333333,5.0
World Health Organization (WHO),6,6.666666666667,10.0,6.666666666667,0.0,6.666666666667,6.666666666667,0.0,6.666666666667,0.0,6.666666666667,3.333333333333,5.0,5.0,0.0,3.333333333333,5.0,0.0,5.0,0.0,3.333333333333
"Commissioner for Refugees (UNHCR), and the Office of the United Nations High Commissioner for Human Rights (OHCHR)",6,6.666666666667,3.333333333333,3.333333333333,0.0,6.666666666667,6.666666666667,10.0,6.666666666667,0.0,0.0,3.333333333333,1.666666666667,2.5,0.0,3.333333333333,5.0,10.0,5.0,0.0,0.0
United Nations Office for Disaster Risk Reduction (UNDRR),6,5.0,5.0,2.5,0.0,7.5,5.0,0.0,5.0,0.0,10.0,3.333333333333,3.333333333333,2.5,0.0,5.0,5.0,0.0,5.0,0.0,6.666666666667
UN Global Compact Office,7,10.0,0.0,4.0,4.0,0.0,4.0,6.0,0.0,4.0,4.0,8.333333333333,0.0,5.0,4.0,0.0,5.0,10.0,0.0,3.333333333333,3.333333333333
International Atomic Energy Agency (IAEA),7,10.0,4.0,4.0,4.0,0.0,6.0,0.0,4.0,4.0,0.0,8.333333333333,3.333333333333,5.0,4.0,0.0,7.5,0.0,5.0,3.333333333333,0.0
World Meteorological Organization (WMO),7,6.0,4.0,4.0,4.0,10.0,8.0,0.0,6.0,0.0,6.0,5.0,3.333333333333,5.0,4.0,8.333333333333,10.0,0.0,7.5,0.0,5.0
Organisation for Economic Co-operation and Development (OECD),7,6.666666666667,6.666666666667,6.666666666667,3.333333333333,3.333333333333,10.0,0.0,3.333333333333,0.0,0.0,3.333333333333,3.333333333333,5.0,2.0,1.666666666667,7.5,0.0,2.5,0.0,0.0
