institution,ordinal_score_vertical_coordination,un_to_member_states__within_igo,global_regional_national_coordination__within_igo,intergovernmental_to_national_institutions__within_igo,technical_assistance_to_states__within_igo,policy_alignment_with_national_plans__within_igo,regional_implementing_partners__within_igo,reporting_and_compliance_mechanisms__within_igo,multi_level_planning_structures__within_igo,data_integration_systems__within_igo,sectoral_to_national_coordination__within_igo,un_to_member_states__across_igo,global_regional_national_coordination__across_igo,intergovernmental_to_national_institutions__across_igo,technical_assistance_to_states__across_igo,policy_alignment_with_national_plans__across_igo,regional_implementing_partners__across_igo,reporting_and_compliance_mechanisms__across_igo,multi_level_planning_structures__across_igo,data_integration_systems__across_igo,sectoral_to_national_coordination__across_igo
Intergovernmental Oceanographic Commission (IOC),6,10.0,3.333333333333,3.333333333333,3.333333333333,0.0,3.333333333333,0.0,3.333333333333,0.0,0.0,6.666666666667,0.0,10.0,2.0,0.0,3.333333333333,0.0,5.0,0.0,0.0
Food and Agriculture Organization of the United Nations (FAO),7,10.0,5.0,5.0,10.0,5.0,10.0,0.0,5.0,0.0,0.0,3.333333333333,0.0,10.0,4.0,10.0,6.666666666667,0.0,5.0,0.0,0.0
Convention on the Intergovernmental Maritime Consultative Organization (IMO) Secretariat,7,6.0,2.0,2.0,10.0,0.0,4.0,0.0,2.0,0.0,2.0,6.666666666667,0.0,10.0,10.0,0.0,6.666666666667,0.0,5.0,0.0,10.0
Division for Ocean Affairs and the Law of the Sea (UN DOALOS),6,4.0,2.0,2.0,10.0,0.0,0.0,4.0,0.0,0.0,2.0,3.333333333333,0.0,10.0,10.0,0.0,0.0,5.0,0.0,0.0,10.0
Climate Change Secretariat,4,10.0,5.0,5.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,3.333333333333,0.0,10.0,0.0,0.0,6.666666666667,0.0,0.0,0.0,0.0
International Seabed Authority,6,6.666666666667,3.333333333333,3.333333333333,10.0,0.0,6.666666666667,0.0,3.333333333333,0.0,0.0,3.333333333333,0.0,10.0,6.0,0.0,6.666666666667,0.0,5.0,0.0,0.0
United Nations Environment Programme (UNEP),5,10.0,5.0,5.0,0.0,0.0,10.0,0.0,5.0,0.0,0.0,3.333333333333,0.0,10.0,0.0,0.0,6.666666666667,0.0,5.0,0.0,0.0
United Nations Development Programme (UNDP),7,10.0,5.0,5.0,0.0,5.0,10.0,5.0,5.0,0.0,0.0,3.333333333333,0.0,10.0,0.0,10.0,6.666666666667,2.5,5.0,0.0,0.0
United Nations Conference on Trade and Development (UNCTAD),5,10.0,3.333333333333,3.333333333333,6.666666666667,0.0,6.666666666667,0.0,0.0,0.0,0.0,6.666666666667,0.0,10.0,4.0,0.0,6.666666666667,0.0,0.0,0.0,0.0
United Nations Industrial Development Organization (UNIDO),5,10.0,5.0,5.0,0.0,0.0,10.0,0.0,5.0,0.0,0.0,3.333333333333,0.0,10.0,0.0,0.0,6.666666666667,0.0,5.0,0.0,0.0
International Labour Organization (ILO),4,10.0,5.0,5.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,3.333333333333,0.0,10.0,0.0,0.0,6.666666666667,0.0,0.0,0.0,0.0
International Telecommunication Union (ITU),4,10.0,5.0,5.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,3.333333333333,0.0,10.0,0.0,0.0,6.666666666667,0.0,0.0,0.0,0.0
United Nations Children’s Fund (UNICEF),7,10.0,5.0,5.0,10.0,0.0,10.0,5.0,5.0,0.0,0.0,3.333333333333,0.0,10.0,4.0,0.0,6.666666666667,2.5,5.0,0.0,0.0
World Health Organization (WHO),5,10.0,3.333333333333,3.333333333333,0.0,3.333333333333,6.666666666667,0.0,0.0,0.0,0.0,6.666666666667,0.0,10.0,0.0,10.0,6.666666666667,0.0,0.0,0.0,0.0
"Commissioner for Refugees (UNHCR), and the Office of the United Nations High Commissioner for Human Rights (OHCHR)",6,10.0,2.5,2.5,0.0,2.5,5.0,7.5,0.0,0.0,0.0,10.0,0.0,10.0,0.0,10.0,6.666666666667,7.5,0.0,0.0,0.0
United Nations Office for Disaster Risk Reduction (UNDRR),7,6.666666666667,3.333333333333,3.333333333333,10.0,0.0,6.666666666667,0.0,3.333333333333,0.0,3.333333333333,3.333333333333,0.0,10.0,6.0,0.0,6.666666666667,0.0,5.0,0.0,10.0
UN Global Compact Office,5,5.0,5.0,0.0,0.0,5.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,3.333333333333,5.0,0.0,0.0,0.0
International Atomic Energy Agency (IAEA),8,7.5,2.5,2.5,10.0,2.5,2.5,5.0,0.0,0.0,2.5,6.666666666667,0.0,10.0,8.0,10.0,3.333333333333,5.0,0.0,0.0,10.0
World Meteorological Organization (WMO),5,5.0,2.5,2.5,10.0,0.0,0.0,5.0,0.0,0.0,0.0,3.333333333333,0.0,10.0,8.0,0.0,0.0,5.0,0.0,0.0,0.0
Organisation for Economic Co-operation and Development (OECD),7,10.0,3.333333333333,3.333333333333,0.0,3.333333333333,3.333333333333,6.666666666667,0.0,0.0,3.333333333333,6.666666666667,0.0,10.0,0.0,10.0,3.333333333333,5.0,0.0,0.0,10.0
World Bank Group (WBG),5,10.0,5.0,5.0,0.0,0.0,10.0,5.0,0.0,0.0,0.0,3.333333333333,0.0,10.0,0.0,0.0,6.666666666667,2.5,0.0,0.0,0.0
