column,family,category,activation_count,activation_pct,mean_across,sd_across,mean_hybrid,max_hybrid
defined_interinstitutional_relationships__un_system_collaboration,Inter-Institutional Relationships,UN System Collaboration,48,100.0,6.375,3.1054173666798146,4.1875,6.0
vertical_coordination__global_regional_national_coordination,Vertical Coordination,Global–Regional–National Coordination,48,100.0,0.0,0.0,1.0,1.0
vertical_coordination__un_to_member_states,Vertical Coordination,UN to Member States,48,100.0,4.374999999999917,2.296698215925712,2.3125,4.0
horizontal_coordination__advocacy_and_communication,Horizontal Coordination,Advocacy and Communication,48,100.0,5.416666666666667,2.4393348703958377,3.7083333333333335,6.0
strategies__strategic_and_institutional_planning,Strategies,Strategic & Institutional Planning,47,97.91666666666666,5.763888888888812,2.173294101083218,3.4583333333333335,6.0
strategies__financial_and_budgetary_management,Strategies,Financial & Budgetary Management,45,93.75,4.0972222222221255,2.200320558349507,2.4583333333333335,6.0
strategies__innovation_and_technology_development,Strategies,Innovation & Technology Development,45,93.75,4.895833333333333,2.576403425306114,1.9583333333333333,4.0
horizontal_coordination__thematic_working_groups,Horizontal Coordination,Thematic Working Groups,44,91.66666666666666,9.166666666666666,2.7931019386546407,0.9166666666666666,1.0
horizontal_coordination__multi_stakeholder_platforms,Horizontal Coordination,Multi-stakeholder Platforms,44,91.66666666666666,4.6875,1.5999501322015992,0.9375,2.0
vertical_coordination__intergovernmental_to_national_institutions,Vertical Coordination,Intergovernmental to National Institutions,43,89.58333333333334,8.958333333333334,3.0870927818858362,0.8958333333333334,1.0
strategies__policy_regulation_and_legal_frameworks,Strategies,"Policy, Regulation & Legal Frameworks",43,89.58333333333334,4.375,2.3912517864881937,1.75,4.0
subject_matter_jurisdiction__sustainable_development_and_capacity_building,Subject-Matter Jurisdiction,Sustainable Development & Capacity Building,42,87.5,3.8333333333333335,2.327754221629091,1.9166666666666667,5.0
sources_of_jurisdiction__non_binding_secondary_law,Sources of Jurisdiction or Authority,Non-binding Secondary Law,41,85.41666666666666,5.393518518518834,2.5107029452720897,4.854166666666667,9.0
sources_of_jurisdiction__foundational_treaties_and_charters,Sources of Jurisdiction or Authority,Foundational Treaties & Charters,40,83.33333333333334,6.232638888888979,2.937436601264105,7.479166666666667,12.0
vertical_coordination__regional_implementing_partners,Vertical Coordination,Regional Implementing Partners,39,81.25,4.86111111111125,2.7468729982866815,1.4583333333333333,3.0
defined_objectives__innovation_and_technology,Defined Objectives,Innovation & Technology,38,79.16666666666666,3.472222222222083,2.4752518159581025,1.0416666666666667,3.0
defined_interinstitutional_relationships__regional_body_coordination,Inter-Institutional Relationships,Regional Body Coordination,36,75.0,2.5,2.062842492517587,1.0,4.0
horizontal_coordination__cross_sectoral_collaboration,Horizontal Coordination,Cross-sectoral Collaboration,36,75.0,3.8541666666666665,2.360937276315285,0.7708333333333334,2.0
defined_interinstitutional_relationships__treaty_body_coordination,Inter-Institutional Relationships,Treaty Body Coordination,36,75.0,2.7604166666666665,2.4320326480987955,1.1041666666666667,4.0
sources_of_jurisdiction__bilateral_multilateral_arrangements,Sources of Jurisdiction or Authority,Bilateral/Multilateral Arrangements,35,72.91666666666666,7.291666666666667,4.490928602896293,2.9166666666666665,4.0
defined_objectives__operational_delivery,Defined Objectives,Operational Delivery,34,70.83333333333334,5.000000000000167,3.5061580409386126,1.5,3.0
strategies__knowledge_research_and_data_systems,Strategies,"Knowledge, Research & Data Systems",34,70.83333333333334,2.777777777777709,2.3902217404414428,1.6666666666666667,6.0
sources_of_jurisdiction__binding_secondary_law,Sources of Jurisdiction or Authority,Binding Secondary Law,34,70.83333333333334,4.98263888888902,3.290907235014753,5.979166666666667,12.0
strategies__capacity_development_and_operational_delivery,Strategies,Capacity Development & Operational Delivery,34,70.83333333333334,3.90625,2.9583208470418745,1.5625,4.0
subject_matter_jurisdiction__research_science_and_innovation,Subject-Matter Jurisdiction,"Research, Science & Innovation",33,68.75,2.9166666666665417,2.4188972342344615,1.75,6.0
subject_matter_jurisdiction__international_cooperation_and_governance,Subject-Matter Jurisdiction,International Cooperation & Governance,31,64.58333333333334,3.541666666666604,3.396998396930362,1.0625,3.0
defined_objectives__knowledge_and_data,Defined Objectives,Knowledge & Data,31,64.58333333333334,3.6979166666666665,3.1786180312602017,1.4791666666666667,4.0
defined_interinstitutional_relationships__technical_or_expert_groups,Inter-Institutional Relationships,Technical or Expert Groups,30,62.5,3.4375,2.9456513205278827,0.6875,2.0
subject_matter_jurisdiction__environmental_protection_and_climate_change,Subject-Matter Jurisdiction,Environmental Protection & Climate Change,30,62.5,3.1666666666666665,2.941510202175669,1.5833333333333333,5.0
strategies__collaboration_partnerships_and_networks,Strategies,"Collaboration, Partnerships & Networks",30,62.5,2.8124999999999587,2.6665835536693328,1.6875,6.0
defined_interinstitutional_relationships__donor_partnerships,Inter-Institutional Relationships,Donor Partnerships,29,60.416666666666664,2.2222222222222086,2.365366072891544,1.3333333333333333,6.0
