institution,activation_count,activation_pct,mean_across,median_across,mean_within,mean_hybrid,spatial_jurisdiction_activation,spatial_jurisdiction_across_mean,subject_matter_jurisdiction_activation,subject_matter_jurisdiction_across_mean,sources_of_jurisdiction_activation,sources_of_jurisdiction_across_mean,defined_objectives_activation,defined_objectives_across_mean,strategies_activation,strategies_across_mean,defined_interinstitutional_relationships_activation,defined_interinstitutional_relationships_across_mean,vertical_coordination_activation,vertical_coordination_across_mean,horizontal_coordination_activation,horizontal_coordination_across_mean
World Meteorological Organization (WMO),47,58.75,3.6131944444444373,3.333333333333,2.9131944444444375,1.6625,5,4.75,7,4.5,4,3.0555555555556,5,3.0833333333333997,8,4.816666666666601,8,3.1333333333333,5,2.6333333333333,5,2.9333333333333003
International Hydrographic Organization (IHO),47,58.75,3.511111111111112,3.333333333333,3.1777777777778,1.525,5,4.75,4,1.9,4,3.0555555555556,7,3.5,8,3.2333333333333,6,3.25,6,3.9666666666666996,7,4.4333333333333
Convention on the Intergovernmental Maritime Consultative Organization (IMO) Secretariat,46,57.49999999999999,3.5100694444444374,3.333333333333,2.90069444444445,1.6,5,4.75,6,3.0333333333333004,4,2.9305555555556,5,2.0,5,2.5166666666666,8,4.5833333333333,7,4.8333333333334,6,3.4333333333333003
Secretariat of the Convention on International Trade in Endangered Species of Wild Fauna and Flora (CITES),46,57.49999999999999,3.410763888888875,2.5,3.225,1.5125,4,3.75,4,1.6333333333333002,5,3.9027777777778,5,1.9166666666666998,9,4.3999999999999,7,4.85,7,3.2333333333333,5,3.6
"Secretariat of the Basel, Rotterdam and Stockholm Conventions (BRS)",45,56.25,3.409027777777787,2.5,3.234375000000013,1.4375,4,3.75,3,1.3,4,2.8888888888890003,7,4.3333333333333,8,2.9833333333333,8,5.8333333333334,5,2.75,6,3.4333333333333003
Secretariat of the Convention on Migratory Species (CMS),43,53.75,3.3152777777778,2.0,3.346527777777787,1.4375,4,3.75,6,3.8666666666667,4,2.9722222222223,4,1.6666666666666998,8,4.183333333333399,6,3.2833333333333004,5,2.5,6,4.3
United Nations Environment Programme (UNEP),44,55.00000000000001,3.281249999999987,2.5,3.678125,1.35,4,4.0,5,2.8666666666666005,4,3.3333333333333997,7,4.3333333333333,8,3.9166666666666003,5,1.9666666666666999,5,2.5,6,3.3333333333333
International Atomic Energy Agency (IAEA),42,52.5,3.26666666666665,2.5,2.634027777777775,1.35,4,4.0,5,2.3333333333333,2,2.0,4,2.0,7,3.6499999999999004,6,3.4166666666667,8,5.3,6,3.4333333333333003
UN Entity for Gender Equality and the Empowerment of Women (UN-Women),41,51.24999999999999,3.2652777777777873,1.0,3.118750000000025,1.325,0,0.0,3,1.2666666666667,4,3.2222222222222996,7,4.8333333333333,8,4.1666666666666,7,4.0,6,3.8333333333333997,6,4.8
United Nations Office for Disaster Risk Reduction (UNDRR),42,52.5,3.265277777777775,2.5,2.975,1.1625,4,4.0,4,2.2666666666666,2,1.5555555555556002,5,3.0833333333333997,7,3.0833333333333,8,4.4333333333333,7,4.1,5,3.6
United Nations Development Programme (UNDP),44,55.00000000000001,3.256249999999987,2.5,3.204861111111113,1.35,3,2.75,7,3.5666666666666003,3,2.4166666666667,5,3.0,7,3.7333333333333,7,3.7333333333333,7,3.75,5,3.1
The Intergovernmental Science-Policy Platform on Biodiversity and Ecosystem Services (IPBES),44,55.00000000000001,3.20625,2.5,3.729166666666675,1.4375,5,5.0,3,1.4,4,3.0833333333334,6,2.8333333333333997,7,3.3499999999998997,7,3.2,6,2.65,6,4.1333333333333
Food and Agriculture Organization of the United Nations (FAO),46,57.49999999999999,3.202083333333325,2.25,3.5361111111110737,1.275,5,4.75,5,1.0666666666667,3,2.8333333333333,5,1.8333333333333002,7,3.15,8,4.35,7,3.9,6,3.7333333333333
Intergovernmental Oceanographic Commission (IOC),45,56.25,3.164583333333325,2.0,2.599999999999963,1.45,4,3.75,5,3.4,4,3.0833333333333,6,2.3333333333333,6,2.0333333333334,8,4.0833333333333,6,2.7,6,3.9333333333333003
World Bank Group (WBG),42,52.5,3.136111111111125,1.25,3.198958333333325,1.325,4,3.75,4,1.5333333333333,4,2.8888888888890003,5,2.75,9,5.3166666666667,6,3.0,5,2.25,5,3.6
Secretariat of the Convention on Biological Diversity (CBD),41,51.24999999999999,3.061111111111125,1.0,2.836458333333325,1.5,5,5.0,4,1.9333333333334,3,1.888888888889,5,1.6666666666666998,10,6.6,5,2.7166666666666,5,2.0833333333333,4,2.6
UN Global Compact Office,39,48.75,3.0513888888888876,0.0,3.0611111111111127,1.3375,4,4.0,4,2.3333333333333,3,2.1944444444445,6,3.8333333333333997,7,3.8999999999999004,4,2.0166666666667,5,1.8333333333333002,6,4.3
United Nations Human Settlements Programme (UN-Habitat),42,52.5,3.0194444444444377,2.25,3.243750000000013,1.25,1,0.75,5,1.9999999999998999,4,3.3055555555555998,5,3.1666666666667,9,4.149999999999901,6,2.95,7,4.2333333333334,5,3.6
UN Research Institute for Social Development (UNRISD),37,46.25,2.96944444444445,0.0,2.738541666666675,1.1375,0,0.0,5,3.0333333333333004,3,2.2222222222223,2,1.3333333333333,8,4.683333333333399,5,3.05,7,4.3333333333333,7,5.1
International Organization for Migration (IOM),40,50.0,2.9333333333333376,0.0,2.87291666666665,1.25,4,3.75,5,1.8,4,3.1666666666667,5,2.5,7,3.6833333333333003,6,2.55,5,2.9166666666667,4,3.1
United Nations Industrial Development Organization (UNIDO),40,50.0,2.9277777777778,0.0,3.4611111111111,1.1625,4,3.75,4,2.2,2,1.3055555555556002,6,3.0833333333333997,7,3.6666666666667,8,4.9166666666667,5,2.5,4,2.0
World Tourism Organization/UN Tourism (UNWTO),38,47.5,2.904861111111125,0.0,2.631944444444425,1.2375,4,3.75,3,1.2,4,2.9722222222223,5,2.5833333333333,6,3.25,5,2.05,5,3.6666666666667,6,3.7666666666667
Ramsar Convention on Wetlands Secretariat (Ramsar),40,50.0,2.871527777777775,0.0,2.694791666666638,1.275,3,3.0,5,2.9333333333333003,4,2.8888888888890003,6,2.5833333333333,5,2.1166666666667,7,4.6666666666666,5,1.1833333333333,5,3.6
International Trade Centre (ITC),40,50.0,2.8256944444444376,0.0,3.01319444444445,1.225,0,0.0,3,1.3333333333333,4,3.3055555555555998,4,1.6666666666666,7,3.5666666666666003,7,4.350000000000099,8,3.95,7,4.4333333333333
International Fund for Agricultural Development (IFAD),36,45.0,2.8052083333333373,0.0,2.8604166666666626,1.125,0,0.0,6,2.2333333333333,2,1.625,6,3.6666666666667,8,5.8333333333333,5,3.15,5,3.3333333333333997,4,2.6
Organisation for Economic Co-operation and Development (OECD),39,48.75,2.7256944444444375,0.0,3.020138888888875,1.2125,4,3.75,4,1.8666666666666,5,3.9722222222222996,4,1.75,7,2.5333333333333004,4,0.8333333333333,7,4.5,4,2.6
Division for Ocean Affairs and the Law of the Sea (UN DOALOS),38,47.5,2.720833333333325,0.0,3.091666666666675,1.1625,3,3.0,3,0.9333333333333,3,2.4166666666667,4,2.9166666666667,6,2.5666666666666003,6,1.5,6,3.8333333333333,7,4.6
United Nations Office for Outer Space Affairs (UNOOSA),36,45.0,2.7159722222222125,0.0,2.6479166666666876,1.1375,0,0.0,3,1.8,4,3.2777777777778,5,3.5,5,1.9999999999998999,8,4.5166666666666995,4,2.0,7,4.6333333333333
World Trade Organization (WTO),40,50.0,2.688194444444425,0.0,2.78229166666665,1.1,4,3.75,5,2.0666666666666,3,2.2222222222223,5,2.6666666666666,6,2.1666666666665995,7,3.1833333333333003,5,1.85,5,3.6
International Labour Organization (ILO),38,47.5,2.6499999999999875,0.0,3.1652777777777876,1.2625,4,4.0,4,2.4,4,2.9166666666667,4,1.25,6,2.4166666666666003,6,2.8833333333333,4,2.0,6,3.3333333333333
International Monetary Fund (IMF),39,48.75,2.6486111111111126,0.0,3.461111111111113,1.2,4,3.75,6,2.5666666666666003,4,2.9722222222223,4,1.6666666666666,8,3.3166666666666997,4,1.65,5,2.4,4,2.8666666666667
World Intellectual Property Organisation (WIPO),38,47.5,2.627777777777775,0.0,3.0875000000000123,1.1375,0,0.0,5,2.4666666666666,4,3.0555555555556,5,2.1666666666667,8,3.8666666666666005,5,2.6,6,3.4,5,3.4666666666666996
Secretariat of the United Nations Convention to Combat Desertification (UNCCD),36,45.0,2.5548611111111126,0.0,2.786458333333325,1.15,0,0.0,7,3.6333333333333,4,2.8888888888890003,5,2.5,7,4.1333333333333,2,1.1,5,2.25,6,3.9333333333333003
United Nations Office on Drugs and Crime (UNODC),37,46.25,2.5486111111111125,0.0,2.5923611111111002,1.0875,0,0.0,2,1.0,4,2.9722222222223,4,1.5,9,4.4999999999999005,7,3.3166666666666003,6,3.8333333333333997,5,3.2666666666667
UN Population Fund (UNFPA),36,45.0,2.5423611111111124,0.0,2.682291666666675,1.05,0,0.0,5,2.4666666666666,3,2.2222222222223,3,1.75,8,4.0833333333333,5,3.4333333333333997,7,2.95,5,3.4333333333333003
World Health Organization (WHO),36,45.0,2.5402777777777876,0.0,2.5102272727273123,1.1,0,0.0,4,1.8,3,2.1388888888890003,5,2.5,7,2.9999999999998996,5,2.5833333333333,5,3.3333333333333997,7,4.9666666666667
"Commissioner for Refugees (UNHCR), and the Office of the United Nations High Commissioner for Human Rights (OHCHR)",35,43.75,2.5395833333333373,0.0,2.7348484848485,0.9875,0,0.0,4,2.0666666666666,2,1.5833333333334,5,2.4166666666667,7,3.0833333333333,6,3.8166666666666997,6,4.4166666666667,5,2.9333333333333003
International Council for the Exploration of the Sea (ICES),37,46.25,2.5333333333333377,0.0,2.445833333333325,1.15,2,2.0,2,1.0,3,2.4166666666667,4,1.4166666666666,8,4.0833333333334005,7,3.1333333333333,6,3.1166666666667,5,3.1
Minamata Convention on Mercury (Minamata),34,42.5,2.5090277777777628,0.0,2.8340277777778,1.2,0,0.0,5,2.5333333333333004,4,2.9722222222223,6,3.9166666666667,8,5.1333333333332,3,1.1833333333333,4,1.7333333333333,4,2.6
Climate Change Secretariat,32,40.0,2.485416666666675,0.0,2.4548611111111125,1.025,5,4.75,3,1.6,2,1.6666666666666998,4,2.0833333333334,5,2.6666666666667,5,2.4166666666666003,4,2.0,4,2.7
United Nations Children’s Fund (UNICEF),37,46.25,2.4111111111111123,0.0,2.44223484848485,1.075,0,0.0,4,1.9,2,1.4722222222223,4,1.5833333333333,9,5.4166666666667,5,2.3333333333333,7,3.15,6,3.4333333333333003
IPCC,30,37.5,2.3690972222222126,0.0,2.1715277777777997,1.1125,0,0.0,2,1.3333333333333,4,2.8194444444445,5,2.8333333333333,4,2.3,5,3.75,5,1.9166666666666,5,4.0
United Nations Office for Project Services (UNOPS),35,43.75,2.3090277777778,0.0,2.71875,0.9875,0,0.0,4,1.45,3,2.5555555555556,4,2.6666666666667,7,2.9166666666667,7,3.3333333333333997,6,2.45,4,3.1
World Food Programme (WFP),31,38.75,2.308333333333325,0.0,2.4930555555555376,1.025,0,0.0,2,0.7,3,2.75,5,2.5,8,4.7333333333333005,3,1.85,5,3.0,5,2.9333333333333003
United Nations University (UNU),34,42.5,2.1361111111111,0.0,2.7256944444444624,1.1,0,0.0,8,3.4666666666665997,4,2.9722222222223,2,0.8333333333333,7,3.6666666666666003,4,1.6166666666666998,4,1.4333333333333,5,3.1
International Seabed Authority,29,36.25,2.05833333333335,0.0,2.2666666666666626,0.9625,1,1.0,3,1.9,2,1.6666666666666998,5,3.4166666666667,5,2.1666666666667,4,2.2166666666666996,6,3.1,3,1.0
International Telecommunication Union (ITU),31,38.75,1.9923611111111001,0.0,2.6875,0.925,0,0.0,1,0.3333333333333,3,2.1388888888889,5,2.5,6,3.1666666666667,8,3.7999999999999,4,2.0,4,2.0
United Nations Conference on Trade and Development (UNCTAD),27,33.75,1.76319444444445,0.0,2.3895833333333374,0.7,0,0.0,3,2.1333333333333,1,0.5555555555556,3,1.8333333333334,4,1.4166666666666,7,3.4333333333333003,5,2.7333333333333996,4,2.0
