variable,type,source,description
institution,character,Year_of_Establishment_with_Categories_and_Density.xlsx,IGO institutional name (harmonised key used for joins).
year_founded,integer,Year_of_Establishment_with_Categories_and_Density.xlsx,Year the IGO was established (cleaned).
igo_age,integer,Derived (2025 - year_founded),IGO age in years as of 2025.
founding_era_category,character,Year_of_Establishment_with_Categories_and_Density.xlsx,Categorical era bin for year_founded.
founding_density_5yr,integer,Derived from founding years,Number of IGOs founded within a ±2-year window around the focal IGO’s founding year (5-year window).
cumulative_stock,integer,Derived from founding years,Running total of IGOs founded up to and including the focal IGO’s founding year.
internal_waters_within_igo,numeric,Spatial_Jurisdiction_FULL_Normalised_REAL.xlsx (Matrix_Wide),Within-IGO min–max normalised score (0–10) for this category; captures relative emphasis within the attribute family.
internal_waters_across_igo,numeric,Spatial_Jurisdiction_FULL_Normalised_REAL.xlsx (Matrix_Wide),Across-IGO min–max normalised score (0–10) for this category; captures intensity relative to all IGOs.
coastal_zone_within_igo,numeric,Spatial_Jurisdiction_FULL_Normalised_REAL.xlsx (Matrix_Wide),Within-IGO min–max normalised score (0–10) for this category; captures relative emphasis within the attribute family.
coastal_zone_across_igo,numeric,Spatial_Jurisdiction_FULL_Normalised_REAL.xlsx (Matrix_Wide),Across-IGO min–max normalised score (0–10) for this category; captures intensity relative to all IGOs.
territorial_sea_ts_within_igo,numeric,Spatial_Jurisdiction_FULL_Normalised_REAL.xlsx (Matrix_Wide),Within-IGO min–max normalised score (0–10) for this category; captures relative emphasis within the attribute family.
territorial_sea_ts_across_igo,numeric,Spatial_Jurisdiction_FULL_Normalised_REAL.xlsx (Matrix_Wide),Across-IGO min–max normalised score (0–10) for this category; captures intensity relative to all IGOs.
contiguous_zone_cz_within_igo,numeric,Spatial_Jurisdiction_FULL_Normalised_REAL.xlsx (Matrix_Wide),Within-IGO min–max normalised score (0–10) for this category; captures relative emphasis within the attribute family.
contiguous_zone_cz_across_igo,numeric,Spatial_Jurisdiction_FULL_Normalised_REAL.xlsx (Matrix_Wide),Across-IGO min–max normalised score (0–10) for this category; captures intensity relative to all IGOs.
exclusive_economic_zone_eez_within_igo,numeric,Spatial_Jurisdiction_FULL_Normalised_REAL.xlsx (Matrix_Wide),Within-IGO min–max normalised score (0–10) for this category; captures relative emphasis within the attribute family.
exclusive_economic_zone_eez_across_igo,numeric,Spatial_Jurisdiction_FULL_Normalised_REAL.xlsx (Matrix_Wide),Across-IGO min–max normalised score (0–10) for this category; captures intensity relative to all IGOs.
extended_continental_shelf_cs_within_igo,numeric,Spatial_Jurisdiction_FULL_Normalised_REAL.xlsx (Matrix_Wide),Within-IGO min–max normalised score (0–10) for this category; captures relative emphasis within the attribute family.
extended_continental_shelf_cs_across_igo,numeric,Spatial_Jurisdiction_FULL_Normalised_REAL.xlsx (Matrix_Wide),Across-IGO min–max normalised score (0–10) for this category; captures intensity relative to all IGOs.
