relative_path,stage,file_role,format,size_bytes,sha256,release_status,notes
00_overview/analytical_invariance_check.csv,00_overview,data_or_output,csv,6128,e8d5cb8fced91652a58b063770b729021b6b42ec393419f8de6dea3808712e31,public,
00_overview/archive_structure.md,00_overview,documentation,md,1657,47014d505a5f8c25e73552555c14324ae26d35831bbe8bb66bb92132d83d4766,supporting,
00_overview/chapter_to_data_crosswalk.csv,00_overview,supporting_file,csv,4356,9fada7b5380418c19d4bc126c739219d0b759690cbc00c095d79e51c9b88c875,supporting,
00_overview/exclusions_and_known_gaps.md,00_overview,documentation,md,2048,a67a5ca4f2a6eeef1a48a9060cdc050bff4a38224eb00c7df7581368943b2ec4,supporting,
00_overview/naming_convention.md,00_overview,documentation,md,859,1312b7a4b96999f26240280f76814c9e9caf9e30786705d8ac194c2d37fbb1ee,supporting,
00_overview/removed_files_public_release.csv,00_overview,public_release_exclusion_register,csv,18415,4aa49b6c6710ddb9add8db6899457bfe41568a1b4629786f0675bcedccb2c800,public,
00_overview/validate_archive.py,00_overview,executable_code,py,11260,8de5f938756146564e99d2313e88fb5df07e80209734499cbe9896afec18020b,supporting,
01_study_population/data/ch04_s1_igo_roster_48.csv,01_study_population,derived_output,csv,2721,621cca58a7c4dcf1aeb816e5533f2ec397f91ed4eeddd4ee7df401a8e17765fd,canonical,
01_study_population/documentation/README.md,01_study_population,documentation,md,290,9a72f613bdcb7c0ed1dfd4865289cf8f7d824ff850cbed0f9e6a51f7ac0490b6,supporting,
02_document_corpus/code/step2/00_build_igo_doc_manifest.py,02_document_corpus,executable_code,py,5731,69d280bdae3748ee7fc70c61761254bda32ac917521fe1625f11783e001f48a7,supporting,
02_document_corpus/code/step2/01_extract_text_and_unitise.py,02_document_corpus,executable_code,py,3998,e3798c6b1ed28940bf19fa728c3fc410f96a13f7ad5fdd8bcdd3935fc643a573,supporting,
02_document_corpus/data/interim/ch04_s2_extraction_log_130.csv,02_document_corpus,derived_output,csv,12940,92b21e676d94e8272bacb8418c804bf4cb369b39c3224a38a6a5e20e5e309e05,supporting,
02_document_corpus/data/interim/ch04_s2_page_index_public_2435.csv.gz,02_document_corpus,public_metadata_index,gz,100711,1264629ba07c6f0fb10367e9bdb868eaacc775e67ec7d4872848dc3f53c2d33f,public,
02_document_corpus/data/interim/ch04_s2_paragraph_index_public_5159.csv.gz,02_document_corpus,public_metadata_index,gz,251071,c6c2ce287a615b4ba3b2873c04d8d521df668e7d357e07a25b4455b0b10595ab,public,
02_document_corpus/data/interim/README_PUBLIC_SAFE.md,02_document_corpus,documentation,md,561,ca6b06bffeea4b34fecb047318ad60f14adde7cbbc8747be2a70af73f0222c1a,public,
02_document_corpus/data/processed/ch04_s2_document_extraction_summary_58.csv,02_document_corpus,canonical_data,csv,16347,a21955586935adb49ed16ae2c8772f210e141189506a6993a414ba65a0ba5f32,supporting,
