IGO_A,IGO_B,mandate_similarity,relational_similarity,delta_incongruence,positive_incongruence,high_incongruence
IOC,FAO,0.7871044560376652,0.8987360550098078,-0.11163159897214259,False,False
IOC,IMO,0.738656645110694,0.884096217746619,-0.145439572635925,False,False
IOC,UN DOALOS,0.734315927158666,0.5796615189632348,0.1546544081954312,True,False
IOC,UNFCCC,0.7315844050072378,0.8729235372894921,-0.14133913228225436,False,False
IOC,ISA,0.5005727395576803,0.767985181472282,-0.2674124419146017,False,False
IOC,UNEP,0.7860296160344898,0.8688942086171584,-0.08286459258266854,False,False
IOC,UNDP,0.5777709708973118,0.7658709178962698,-0.18809994699895805,False,False
IOC,UNCTAD,0.28174927198887295,0.8084154328193753,-0.5266661608305023,False,False
IOC,UNIDO,0.6957971225975539,0.8114773771378664,-0.1156802545403125,False,False
IOC,ILO,0.695659019171654,0.7977375942278132,-0.10207857505615925,False,False
IOC,ITU,0.5670094723003776,0.8413615347048058,-0.2743520624044282,False,False
IOC,UNICEF,0.5791301285764264,0.9037889630036245,-0.3246588344271981,False,False
IOC,WHO,0.6599019242091295,0.9179873784350953,-0.25808545422596574,False,False
IOC,UNHCR/OHCHR,0.40093624286060286,0.739674778471203,-0.33873853561060013,False,False
IOC,UNDRR,0.4871339415861936,0.8404962455280552,-0.35336230394186163,False,False
IOC,UNGC,0.6962123216818289,0.7553051746193638,-0.05909285293753486,False,False
IOC,IAEA,0.7095784222857038,0.8323553074800272,-0.12277688519432339,False,False
IOC,WMO,0.8495780662795333,0.8073153033255536,0.04226276295397968,True,False
IOC,OECD,0.5273100254687806,0.6731013560449626,-0.145791330576182,False,False
IOC,WBG,0.5412115571106223,0.6794336091808258,-0.13822205207020355,False,False
IOC,IMF,0.7242690373200105,0.7755514993902958,-0.051282462070285306,False,False
IOC,IHO,0.8245758696780077,0.8458310143476363,-0.021255144669628634,False,False
IOC,ICES,0.6224955019069316,0.8935744456716082,-0.27107894376467656,False,False
IOC,IPBES,0.7415400941453708,0.8113657017214456,-0.06982560757607481,False,False
IOC,IPCC,0.6492945968685305,0.8754804003710556,-0.22618580350252504,False,False
IOC,WTO,0.687359977905636,0.8738230426874084,-0.18646306478177244,False,False
IOC,IOM,0.5245219016795685,0.9090486897667485,-0.38452678808718,False,False
IOC,UNOPS,0.3669403098043469,0.6623545220101827,-0.29541421220583586,False,False
IOC,UN Women,0.0,0.866016499307753,-0.866016499307753,False,False
IOC,WIPO,0.2820692599080001,0.8452087819944187,-0.5631395220864186,False,False
IOC,UNFPA,0.5641385198160003,0.7923592078258719,-0.2282206880098716,False,False
IOC,UN-Habitat,0.6977322142899394,0.7412230320057678,-0.04349081771582841,False,False
IOC,WFP,0.08452478159666192,0.7741519507491177,-0.6896271691524558,False,False
IOC,UNWTO,0.44596225096511055,0.8553753612664433,-0.40941311030133276,False,False
IOC,UNRISD,0.5271315147846387,0.8196755490982573,-0.29254403431361864,False,False
IOC,BRS,0.5731582577750506,0.7401304182983024,-0.1669721605232518,False,False
IOC,CBD,0.6438147415038781,0.8267760307116666,-0.18296128920778854,False,False
IOC,CITES,0.5877882369206502,0.746849263002127,-0.15906102608147676,False,False
IOC,CMS,0.7315840431631444,0.7188138446516816,0.012770198511462771,True,False
IOC,IFAD,0.4949264431568471,0.6554960550719745,-0.16056961191512742,False,False
