organisation,retained_overlap_degree,retained_overlap_strength,max_retained_mandate_similarity
UNIDO,12,9.716237445975915,0.9294304493828788
WMO,12,9.432429183881252,0.8495780662795333
FAO,11,9.325305362645302,0.9333674034753776
WTO,10,8.686833063742863,0.9782628785514974
IHO,10,8.214598258433274,0.9502578394694486
UNEP,10,8.093933039480891,0.8714262586396293
IMF,9,7.784565670043805,0.9782628785514974
WBG,9,7.677228519597437,0.9494020170215564
OECD,9,7.5278509952009385,0.935254860619026
IOM,8,6.455727427857854,0.8936769857443931
BRS,8,6.111264101223314,0.8186448409302415
UNWTO,7,6.0254915448890465,0.9494020170215564
UN DOALOS,7,5.793688025806071,0.9130285653892944
UNFCCC,7,5.7417310761164435,0.9333674034753776
ILO,7,5.601027350043376,0.8824531167906932
UNGC,6,4.897035000646532,0.8824531167906932
IOC,6,4.727484747285761,0.8495780662795333
IAEA,5,4.21147899581192,0.9106956160944574
IPBES,5,4.187339578612574,0.9326083490216514
UNFPA,5,4.15398228753367,0.904534033733291
IMO,5,4.126392390588949,0.9502578394694486
UNU,5,4.123321020828288,0.9724332766526302
CITES,5,4.0796196600606445,0.8720118468373176
UNRISD,5,4.022534637325324,0.9009374626955592
CMS,5,4.000300947443032,0.8460689611152463
UN-Habitat,5,3.8897911629708672,0.8221610266600304
CBD,4,3.4744555816427862,0.9326083490216514
UNCCD,4,3.3363835129949484,0.9724332766526302
UNDP,4,3.179439704364883,0.8609315751499091
UNHCR/OHCHR,3,2.4948454863117404,0.904534033733291
UNICEF,3,2.4531370985621814,0.8660254037844387
UNOOSA,3,2.3436503461137703,0.8660254037844387
UNCTAD,2,1.7155459872712802,0.9761870601839528
ITC,2,1.713461239303773,0.9761870601839528
ICES,2,1.596548534110147,0.8046841507193939
WHO,2,1.5733869868244115,0.8114822249196494
Ramsar,1,0.7938631434385325,0.7938631434385325
IFAD,1,0.7619047619047621,0.7619047619047621
UNDRR,1,0.7589445678656308,0.7589445678656308
UNOPS,1,0.7396002616336388,0.7396002616336388
IPCC,0,0.0,0.0
ISA,0,0.0,0.0
ITU,0,0.0,0.0
Minamata,0,0.0,0.0
UN Women,0,0.0,0.0
UNODC,0,0.0,0.0
WFP,0,0.0,0.0
WIPO,0,0.0,0.0
