IGO_A,IGO_B,mandate_similarity,relational_similarity,delta_incongruence
UN DOALOS,UNFCCC,0.8337315375977856,0.3807885810156012,0.4529429565821843
UNCCD,UNU,0.9724332766526302,0.5850076268532177,0.3874256497994125
UN DOALOS,ILO,0.7440489884925762,0.3964912683472811,0.347557720145295
UN DOALOS,CBD,0.8388436966652022,0.5152763505657089,0.3235673460994933
UN DOALOS,UNGC,0.8462701354862365,0.5231824253080178,0.3230877101782187
UNIDO,OECD,0.8210509651027859,0.5411151421248427,0.2799358229779431
IMF,CITES,0.8210509651027859,0.5417900633648145,0.2792609017379713
WBG,BRS,0.7762844929580103,0.5098563655924829,0.2664281273655273
UNEP,CMS,0.8460689611152463,0.5968452808222928,0.2492236802929535
UNEP,BRS,0.8186448409302415,0.5783896587248133,0.2402551822054281
UNEP,WBG,0.7982288596710019,0.6080923424070785,0.1901365172639233
UNWTO,BRS,0.7632657022870631,0.5767995670691138,0.1864661352179493
UNIDO,BRS,0.7352555907897259,0.593194474909484,0.1420611158802419
