IGO_A,IGO_B,mandate_similarity,relational_similarity,delta_incongruence,positive_incongruence,high_incongruence
IOC,FAO,0.7871044560376652,0.8987360550098078,-0.1116315989721425,False,False
IOC,IMO,0.738656645110694,0.884096217746619,-0.145439572635925,False,False
IOC,UNFCCC,0.7315844050072378,0.8729235372894921,-0.1413391322822543,False,False
IOC,UNEP,0.7860296160344898,0.8688942086171584,-0.0828645925826685,False,False
IOC,UNICEF,0.5791301285764264,0.9037889630036244,-0.3246588344271981,False,False
IOC,WHO,0.6599019242091295,0.9179873784350951,-0.2580854542259657,False,False
IOC,ICES,0.6224955019069316,0.8935744456716082,-0.2710789437646765,False,False
IOC,IPCC,0.6492945968685305,0.8754804003710556,-0.226185803502525,False,False
IOC,WTO,0.687359977905636,0.8738230426874084,-0.1864630647817724,False,False
IOC,IOM,0.5245219016795685,0.9090486897667484,-0.38452678808718,False,False
IOC,UN Women,0.0,0.866016499307753,-0.866016499307753,False,False
IOC,Minamata,0.6365393056277318,0.8725145477246988,-0.235975242096967,False,False
IOC,UNOOSA,0.4629612954868925,0.8768179353713493,-0.4138566398844568,False,False
FAO,IMO,0.7676442247978623,0.8843912676645296,-0.1167470428666672,False,False
FAO,UNDRR,0.4923250323522311,0.8828400906962296,-0.3905150583439985,False,False
FAO,WTO,0.5804092439842975,0.8664961167107885,-0.286086872726491,False,False
IMO,ISA,0.2707839764335047,0.8677134397667474,-0.5969294633332427,False,False
IMO,UNICEF,0.3786894608834579,0.8917563734634703,-0.5130669125800122,False,False
IMO,UNDRR,0.4624430935331531,0.8853420465136794,-0.4228989529805263,False,False
IMO,IAEA,0.8868103884526453,0.904061354204836,-0.0172509657521908,False,False
IMO,WMO,0.7830232927582982,0.8815409264032015,-0.0985176336449032,False,False
IMO,IHO,0.9502578394694486,0.8882139643711293,0.0620438750983193,True,False
IMO,WTO,0.6434814141288412,0.9186510188700882,-0.2751696047412469,False,False
IMO,Ramsar,0.2706787205889511,0.8816828465409663,-0.6110041259520151,False,False
UNFCCC,UNEP,0.6579233535813608,0.9157682501035556,-0.2578448965221948,False,False
UNFCCC,ILO,0.8081660621992381,0.8795544769733733,-0.0713884147741351,False,False
UNFCCC,ITU,0.0,0.9106001024510436,-0.9106001024510436,False,False
UNFCCC,IPCC,0.2523134881936252,0.8675952803859568,-0.6152817921923315,False,False
UNFCCC,UNWTO,0.522017748984101,0.8743468868131324,-0.3523291378290314,False,False
UNFCCC,UNCCD,0.2774716222822315,0.8660865987673521,-0.5886149764851205,False,False
ISA,UNCTAD,0.1794606340193885,0.8729737054680926,-0.6935130714487041,False,False
ISA,IAEA,0.2548509505142025,0.8740785799234135,-0.6192276294092111,False,False
UNEP,UNIDO,0.8714262586396293,0.9035452033073578,-0.0321189446677284,False,False
UNEP,ILO,0.4822445673363533,0.917137693721834,-0.4348931263854808,False,False
UNEP,ITU,0.2693159769848675,0.8905218525512202,-0.6212058755663528,False,False
