organisation,degree,strength,betweenness,eigenvector_centrality,community,relational_position
BRS,3,2.681951771162926,0.03700277520814061,0.1518091047645941,0,Other connected organisation
CBD,3,2.6330998308113926,0.0,0.2559685876126774,1,Other connected organisation
CITES,1,0.8893183515555306,0.0,0.01814555711201103,0,Weakly embedded
CMS,1,0.8918487931070663,0.0,0.044390474681893353,1,Weakly embedded
FAO,4,3.5324635300813556,0.016651248843663275,0.32905644874423434,0,Other connected organisation
IAEA,11,9.806759607148331,0.07678075855689177,0.7062780200787856,0,Cross-cluster broker
ICES,11,9.708878912127108,0.052728954671600374,0.9059978894815706,0,System-wide connector
IFAD,1,0.9307602297535188,0.0,0.03648049873072518,2,Weakly embedded
IHO,6,5.4632887983084375,0.016651248843663275,0.5210574065287826,0,Other connected organisation
ILO,5,4.474691184649607,0.01572617946345976,0.22062156100041966,2,Other connected organisation
IMF,0,0.0,0.0,0.0,4,Silo / near-isolate
IMO,10,8.887449455545267,0.06753006475485662,0.6631649581949219,0,Domain connector
IOC,13,11.513701921002419,0.08973172987974098,1.0,1,System-wide connector
IOM,7,6.279153562403541,0.008325624421831638,0.5941076460744579,1,Other connected organisation
IPBES,0,0.0,0.0,0.0,5,Silo / near-isolate
IPCC,9,7.9549299739405726,0.023126734505087884,0.6687035805859396,1,Cross-cluster broker
ISA,3,2.6147657251582537,0.01387604070305273,0.16412764914836322,2,Other connected organisation
ITC,2,1.774513918750288,0.0,0.017210636216110627,3,Weakly embedded
ITU,4,3.5995784852541277,0.004625346901017576,0.15689238930560376,2,Other connected organisation
Minamata,7,6.094326506110012,0.0,0.6392764764310254,0,Other connected organisation
OECD,1,0.8607693689960585,0.0,0.011367491385702096,1,Weakly embedded
Ramsar,2,1.7584426281120566,0.0,0.17366035736275096,0,Weakly embedded
UN DOALOS,0,0.0,0.0,0.0,6,Silo / near-isolate
UN Women,8,7.021175279508681,0.03700277520814061,0.6245014584998069,1,Cross-cluster broker
UN-Habitat,1,0.8698106074896528,0.0,0.03494952132971786,0,Weakly embedded
UNCCD,8,7.105995434544749,0.006475485661424607,0.6139533662472477,1,Other connected organisation
UNCTAD,2,1.7381782197714988,0.002775208140610546,0.03249037252328542,2,Weakly embedded
UNDP,4,3.5436220417456417,0.037927844588344126,0.019469432216641477,3,Other connected organisation
UNDRR,5,4.377552784129745,0.03700277520814061,0.29895187890169667,0,Other connected organisation
UNEP,8,7.1320332011084515,0.07678075855689177,0.5182829527712612,2,Cross-cluster broker
UNFCCC,7,6.186875132783906,0.02590194264569843,0.44741118830010473,2,Other connected organisation
UNFPA,4,3.5605470128839753,0.13691026827012026,0.1237383778227066,3,Cross-cluster broker
UNGC,1,0.8617641709916801,0.0,0.002255054409382613,3,Weakly embedded
UNHCR/OHCHR,1,0.867457149963051,0.0,0.07281097725834612,1,Weakly embedded
UNICEF,13,11.523409349077799,0.28122109158186864,0.9855327221059007,0,System-wide connector
UNIDO,4,3.622461590447978,0.0240518038852914,0.11379481840462445,2,Other connected organisation
UNODC,2,1.728358053074702,0.03700277520814061,0.09825676129463075,1,Weakly embedded
UNOOSA,6,5.279007387276387,0.039777983348751156,0.37032512834983017,1,Other connected organisation
UNOPS,0,0.0,0.0,0.0,7,Silo / near-isolate
UNRISD,0,0.0,0.0,0.0,8,Silo / near-isolate
UNU,0,0.0,0.0,0.0,9,Silo / near-isolate
UNWTO,10,8.839313854882773,0.05180388529139686,0.6089831329083026,2,Domain connector
WBG,2,1.7575519109066553,0.0,0.016732051781898488,3,Weakly embedded
WFP,4,3.581212473358101,0.03700277520814061,0.2916134740418622,2,Other connected organisation
WHO,11,9.806149847676568,0.11563367252543941,0.8313446446099593,1,System-wide connector
WIPO,3,2.625268725204335,0.009250693802035153,0.19855921568329593,1,Other connected organisation
WMO,7,6.342174020975614,0.05735430157261795,0.5415716019362373,0,Other connected organisation
WTO,11,9.746384965356139,0.026827012025901945,0.8067967841220156,0,System-wide connector
