rank_by_gap_desc,canonical_institution,igo_acronym,delivery_capacity,regulatory_strength,regulatory_delivery_gap,regulatory_delivery_profile
1,International Telecommunication Union (ITU),ITU,0.23809523809523814,3.9583333333333335,3.7202380952380953,Regulatory-heavy
2,Intergovernmental Oceanographic Commission (IOC),IOC,1.2857142857142858,4.583333333333332,3.2976190476190466,Regulatory-heavy
3,International Labour Organization (ILO),ILO,0.7142857142857144,3.75,3.0357142857142856,Regulatory-heavy
4,United Nations Office for Outer Space Affairs (UNOOSA),UNOOSA,0.7142857142857144,3.75,3.0357142857142856,Regulatory-heavy
5,World Tourism Organization/UN Tourism (UNWTO),UNWTO,0.7142857142857143,3.5416666666666665,2.827380952380952,Regulatory-heavy
6,IPCC,IPCC,0.761904761904762,3.5416666666666665,2.7797619047619047,Regulatory-heavy
7,International Council for the Exploration of the Sea (ICES),ICES,0.8095238095238095,3.5416666666666665,2.7321428571428568,Regulatory-heavy
8,Minamata Convention on Mercury (Minamata),Minamata,0.8095238095238095,3.5416666666666665,2.7321428571428568,Regulatory-heavy
9,World Health Organization (WHO),WHO,1.2380952380952384,3.958333333333333,2.720238095238095,Regulatory-heavy
10,International Organization for Migration (IOM),IOM,1.0476190476190477,3.75,2.7023809523809526,Regulatory-heavy
11,World Bank Group (WBG),WBG,0.761904761904762,3.333333333333333,2.571428571428571,Regulatory-heavy
12,Secretariat of the Convention on Biological Diversity (CBD),CBD,0.8095238095238095,3.333333333333333,2.5238095238095237,Regulatory-heavy
13,Secretariat of the Convention on Migratory Species (CMS),CMS,1.0476190476190477,3.5416666666666665,2.4940476190476186,Regulatory-heavy
14,Organisation for Economic Co-operation and Development (OECD),OECD,1.0952380952380953,3.5416666666666665,2.446428571428571,Regulatory-heavy
15,United Nations Development Programme (UNDP),UNDP,1.0952380952380953,3.5416666666666665,2.446428571428571,Regulatory-heavy
16,Secretariat of the United Nations Convention to Combat Desertification (UNCCD),UNCCD,1.0000000000000002,3.333333333333333,2.333333333333333,Regulatory-heavy
17,UN Entity for Gender Equality and the Empowerment of Women (UN-Women),UN Women,1.0476190476190477,3.333333333333333,2.2857142857142856,Regulatory-heavy
18,UN Global Compact Office,UNGC,1.3333333333333335,3.5416666666666665,2.208333333333333,Regulatory-heavy
19,World Intellectual Property Organisation (WIPO),WIPO,1.5714285714285714,3.75,2.178571428571429,Regulatory-heavy
20,United Nations University (UNU),UNU,1.4285714285714286,3.5416666666666665,2.113095238095238,Regulatory-heavy
21,International Monetary Fund (IMF),IMF,1.523809523809524,3.5416666666666665,2.0178571428571423,Regulatory-heavy
22,The Intergovernmental Science-Policy Platform on Biodiversity and Ecosystem Services (IPBES),IPBES,1.5714285714285714,3.5416666666666665,1.9702380952380951,Regulatory-heavy
23,United Nations Office on Drugs and Crime (UNODC),UNODC,1.5714285714285714,3.5416666666666665,1.9702380952380951,Regulatory-heavy
24,United Nations Office for Project Services (UNOPS),UNOPS,0.5714285714285714,2.5,1.9285714285714286,Regulatory-heavy
25,Ramsar Convention on Wetlands Secretariat (Ramsar),Ramsar,1.6190476190476193,3.333333333333333,1.7142857142857137,Regulatory-heavy
26,United Nations Environment Programme (UNEP),UNEP,1.0000000000000002,2.708333333333333,1.7083333333333328,Regulatory-heavy
27,International Trade Centre (ITC),ITC,1.8571428571428577,3.5416666666666665,1.6845238095238089,Regulatory-heavy
28,Convention on the Intergovernmental Maritime Consultative Organization (IMO) Secretariat,IMO,2.1904761904761907,3.75,1.5595238095238093,Regulatory-heavy
29,World Meteorological Organization (WMO),WMO,2.1904761904761907,3.75,1.5595238095238093,Regulatory-heavy
30,"United Nations Industrial Development Organization (UNIDO),",UNIDO,0.5238095238095238,1.875,1.3511904761904763,Regulatory-heavy
31,International Hydrographic Organization (IHO),IHO,2.4285714285714293,3.75,1.3214285714285707,Regulatory-heavy
32,Secretariat of the Convention on International Trade in Endangered Species of Wild Fauna and Flora (CITES),CITES,2.4761904761904767,3.75,1.2738095238095233,Regulatory-heavy
33,Food and Agriculture Organization of the United Nations (FAO),FAO,1.8571428571428577,3.125,1.2678571428571423,Regulatory-heavy
34,Climate Change Secretariat,UNFCCC,0.4761904761904763,1.6666666666666665,1.1904761904761902,Regulatory-heavy
35,World Food Programme (WFP),WFP,0.761904761904762,1.875,1.1130952380952381,Regulatory-heavy
36,"Commissioner for Refugees (UNHCR), and the Office of the United Nations High Commissioner for Human Rights (OHCHR)",UNHCR/OHCHR,1.6190476190476193,2.2916666666666665,0.6726190476190472,Regulatory-heavy
37,United Nations Children’s Fund (UNICEF),UNICEF,1.6190476190476193,2.2916666666666665,0.6726190476190472,Regulatory-heavy
38,International Seabed Authority,ISA,1.1428571428571428,1.6666666666666665,0.5238095238095237,Regulatory-heavy
39,UN Population Fund (UNFPA),UNFPA,1.3333333333333335,1.6666666666666665,0.33333333333333304,Regulatory-heavy
40,"Secretariat of the Basel, Rotterdam and Stockholm Conventions (BRS)",BRS,3.047619047619048,3.333333333333333,0.28571428571428514,Regulatory-heavy
41,World Trade Organization (WTO),WTO,1.6190476190476193,1.6666666666666665,0.04761904761904723,Near-aligned
42,International Atomic Energy Agency (IAEA),IAEA,2.4761904761904767,2.5,0.02380952380952328,Near-aligned
43,Division for Ocean Affairs and the Law of the Sea (UN DOALOS),UN DOALOS,2.9523809523809526,2.9166666666666665,-0.03571428571428603,Near-aligned
44,United Nations Human Settlements Programme (UN-Habitat),UN-Habitat,1.9523809523809526,1.6666666666666665,-0.28571428571428603,Delivery-heavy
45,UN Research Institute for Social Development (UNRISD),UNRISD,2.0952380952380953,1.6666666666666665,-0.4285714285714288,Delivery-heavy
46,International Fund for Agricultural Development (IFAD),IFAD,0.5238095238095238,0.0,-0.5238095238095238,Delivery-heavy
47,United Nations Conference on Trade and Development (UNCTAD),UNCTAD,0.8095238095238095,0.0,-0.8095238095238095,Delivery-heavy
48,United Nations Office for Disaster Risk Reduction (UNDRR),UNDRR,1.6190476190476193,0.0,-1.6190476190476193,Delivery-heavy
