rank_descending,figure_label,igo_acronym,functional_alignment_score,functional_orientation,canonical_institution,plot_side,score_source
1,UNU,UNU,5.83,Technical-rule dominant,United Nations University (UNU),technical_rule_side,Archived full 48-case functional-orientation score series used in the Chapter 5 analysis; cross-checked against the class-count and selected-score outputs.
2,UNODC,UNODC,4.5,Technical-rule dominant,United Nations Office on Drugs and Crime (UNODC),technical_rule_side,Archived full 48-case functional-orientation score series used in the Chapter 5 analysis; cross-checked against the class-count and selected-score outputs.
3,WHO,WHO,4.44,Technical-rule dominant,World Health Organization (WHO),technical_rule_side,Archived full 48-case functional-orientation score series used in the Chapter 5 analysis; cross-checked against the class-count and selected-score outputs.
4,CCS,UNFCCC,4.38,Technical-rule dominant,Climate Change Secretariat,technical_rule_side,Archived full 48-case functional-orientation score series used in the Chapter 5 analysis; cross-checked against the class-count and selected-score outputs.
5,UNWTO,UNWTO,4.33,Technical-rule dominant,World Tourism Organization/UN Tourism (UNWTO),technical_rule_side,Archived full 48-case functional-orientation score series used in the Chapter 5 analysis; cross-checked against the class-count and selected-score outputs.
6,IMF,IMF,4.17,Technical-rule dominant,International Monetary Fund (IMF),technical_rule_side,Archived full 48-case functional-orientation score series used in the Chapter 5 analysis; cross-checked against the class-count and selected-score outputs.
7,UNOPS,UNOPS,4.17,Technical-rule dominant,United Nations Office for Project Services (UNOPS),technical_rule_side,Archived full 48-case functional-orientation score series used in the Chapter 5 analysis; cross-checked against the class-count and selected-score outputs.
8,IOC,IOC,3.89,Technical-rule dominant,Intergovernmental Oceanographic Commission (IOC),technical_rule_side,Archived full 48-case functional-orientation score series used in the Chapter 5 analysis; cross-checked against the class-count and selected-score outputs.
9,WFP,WFP,3.61,Technical-rule dominant,World Food Programme (WFP),technical_rule_side,Archived full 48-case functional-orientation score series used in the Chapter 5 analysis; cross-checked against the class-count and selected-score outputs.
10,UN-Habitat,UN-Habitat,3.5,Technical-rule dominant,United Nations Human Settlements Programme (UN-Habitat),technical_rule_side,Archived full 48-case functional-orientation score series used in the Chapter 5 analysis; cross-checked against the class-count and selected-score outputs.
11,ISA,ISA,3.33,Technical-rule dominant,International Seabed Authority,technical_rule_side,Archived full 48-case functional-orientation score series used in the Chapter 5 analysis; cross-checked against the class-count and selected-score outputs.
12,IAEA,IAEA,3.17,Technical-rule dominant,International Atomic Energy Agency (IAEA),technical_rule_side,Archived full 48-case functional-orientation score series used in the Chapter 5 analysis; cross-checked against the class-count and selected-score outputs.
13,UNDRR,UNDRR,3.13,Technical-rule dominant,United Nations Office for Disaster Risk Reduction (UNDRR),technical_rule_side,Archived full 48-case functional-orientation score series used in the Chapter 5 analysis; cross-checked against the class-count and selected-score outputs.
14,WTO,WTO,3.06,Technical-rule dominant,World Trade Organization (WTO),technical_rule_side,Archived full 48-case functional-orientation score series used in the Chapter 5 analysis; cross-checked against the class-count and selected-score outputs.
