rank_by_gap_desc,canonical_institution,igo_acronym,Binding Secondary Law_AcrossIGO,Compliance & Oversight_AcrossIGO,Delegated or Derived Powers_AcrossIGO,Foundational Treaties & Charters_AcrossIGO,regulatory_strength,Multi-level Planning Structures_AcrossIGO,Policy Alignment with National Plans_AcrossIGO,Reporting & Compliance Mechanisms_AcrossIGO,Technical Assistance to States_AcrossIGO,Inter-agency Technical Cooperation_AcrossIGO,Shared Monitoring Frameworks_AcrossIGO,Thematic Working Groups_AcrossIGO,delivery_capacity,regulatory_delivery_gap,regulatory_delivery_profile,regulatory_strength_rounded_3dp,delivery_capacity_rounded_3dp,regulatory_delivery_gap_rounded_3dp
1,International Telecommunication Union (ITU),ITU,7.5,0.0,0.0,8.333333333333334,3.9583333333333335,0,0,0,0,0.0,0.0,1.666666666666667,0.23809523809523814,3.7202380952380953,Regulatory-heavy,3.958,0.238,3.72
2,Intergovernmental Oceanographic Commission (IOC),IOC,5.83333333333333,0.0,4.166666666666667,8.333333333333334,4.583333333333332,2,0,0,2,1.666666666666667,1.666666666666667,1.666666666666667,1.2857142857142858,3.2976190476190466,Regulatory-heavy,4.583,1.286,3.298
3,International Labour Organization (ILO),ILO,6.666666666666666,0.0,0.0,8.333333333333334,3.75,0,0,0,0,1.666666666666667,1.666666666666667,1.666666666666667,0.7142857142857144,3.0357142857142856,Regulatory-heavy,3.75,0.714,3.036
4,United Nations Office for Outer Space Affairs (UNOOSA),UNOOSA,6.666666666666666,0.0,0.0,8.333333333333334,3.75,0,0,0,0,1.666666666666667,1.666666666666667,1.666666666666667,0.7142857142857144,3.0357142857142856,Regulatory-heavy,3.75,0.714,3.036
5,World Tourism Organization/UN Tourism (UNWTO),UNWTO,7.5,0.0,0.0,6.666666666666666,3.5416666666666665,0,0,0,0,3.333333333333333,0.0,1.666666666666667,0.7142857142857143,2.827380952380952,Regulatory-heavy,3.542,0.714,2.827
6,IPCC,IPCC,7.5,0.0,0.0,6.666666666666666,3.5416666666666665,0,0,2,0,0.0,1.666666666666667,1.666666666666667,0.761904761904762,2.7797619047619047,Regulatory-heavy,3.542,0.762,2.78
7,International Council for the Exploration of the Sea (ICES),ICES,7.5,0.0,0.0,6.666666666666666,3.5416666666666665,0,0,2,2,0.0,0.0,1.666666666666667,0.8095238095238095,2.7321428571428568,Regulatory-heavy,3.542,0.81,2.732
8,Minamata Convention on Mercury (Minamata),Minamata,6.666666666666666,0.0,0.0,7.5,3.5416666666666665,0,0,0,4,0.0,0.0,1.666666666666667,0.8095238095238095,2.7321428571428568,Regulatory-heavy,3.542,0.81,2.732
9,World Health Organization (WHO),WHO,6.666666666666666,0.0,0.0,9.166666666666666,3.958333333333333,0,2,0,0,3.333333333333333,1.666666666666667,1.666666666666667,1.2380952380952384,2.720238095238095,Regulatory-heavy,3.958,1.238,2.72
10,International Organization for Migration (IOM),IOM,6.666666666666666,0.0,0.0,8.333333333333334,3.75,0,2,2,0,0.0,1.666666666666667,1.666666666666667,1.0476190476190477,2.7023809523809526,Regulatory-heavy,3.75,1.048,2.702
11,World Bank Group (WBG),WBG,6.666666666666666,0.0,0.0,6.666666666666666,3.333333333333333,0,0,2,0,0.0,1.666666666666667,1.666666666666667,0.761904761904762,2.571428571428571,Regulatory-heavy,3.333,0.762,2.571
12,Secretariat of the Convention on Biological Diversity (CBD),CBD,6.666666666666666,0.0,0.0,6.666666666666666,3.333333333333333,2,0,2,0,0.0,0.0,1.666666666666667,0.8095238095238095,2.5238095238095237,Regulatory-heavy,3.333,0.81,2.524
13,Secretariat of the Convention on Migratory Species (CMS),CMS,6.666666666666666,0.0,0.0,7.5,3.5416666666666665,0,0,4,0,0.0,1.666666666666667,1.666666666666667,1.0476190476190477,2.4940476190476186,Regulatory-heavy,3.542,1.048,2.494
14,Organisation for Economic Co-operation and Development (OECD),OECD,6.666666666666666,0.0,0.0,7.5,3.5416666666666665,0,2,4,0,0.0,0.0,1.666666666666667,1.0952380952380953,2.446428571428571,Regulatory-heavy,3.542,1.095,2.446
15,United Nations Development Programme (UNDP),UNDP,7.5,6.666666666666666,0.0,0.0,3.5416666666666665,2,2,2,0,0.0,0.0,1.666666666666667,1.0952380952380953,2.446428571428571,Regulatory-heavy,3.542,1.095,2.446
16,Secretariat of the United Nations Convention to Combat Desertification (UNCCD),UNCCD,6.666666666666666,0.0,0.0,6.666666666666666,3.333333333333333,0,0,2,0,1.666666666666667,1.666666666666667,1.666666666666667,1.0000000000000002,2.333333333333333,Regulatory-heavy,3.333,1.0,2.333
17,UN Entity for Gender Equality and the Empowerment of Women (UN-Women),UN Women,6.666666666666666,0.0,0.0,6.666666666666666,3.333333333333333,0,0,4,0,0.0,1.666666666666667,1.666666666666667,1.0476190476190477,2.2857142857142856,Regulatory-heavy,3.333,1.048,2.286
18,UN Global Compact Office,UNGC,6.666666666666666,0.0,0.0,7.5,3.5416666666666665,0,2,4,0,0.0,1.666666666666667,1.666666666666667,1.3333333333333335,2.208333333333333,Regulatory-heavy,3.542,1.333,2.208
19,World Intellectual Property Organisation (WIPO),WIPO,6.666666666666666,0.0,0.0,8.333333333333334,3.75,0,2,0,4,3.333333333333333,0.0,1.666666666666667,1.5714285714285714,2.178571428571429,Regulatory-heavy,3.75,1.571,2.179
20,United Nations University (UNU),UNU,6.666666666666666,0.0,0.0,7.5,3.5416666666666665,0,0,4,6,0.0,0.0,0.0,1.4285714285714286,2.113095238095238,Regulatory-heavy,3.542,1.429,2.113
21,International Monetary Fund (IMF),IMF,6.666666666666666,0.0,0.0,7.5,3.5416666666666665,0,0,0,4,3.333333333333333,1.666666666666667,1.666666666666667,1.523809523809524,2.0178571428571423,Regulatory-heavy,3.542,1.524,2.018
22,The Intergovernmental Science-Policy Platform on Biodiversity and Ecosystem Services (IPBES),IPBES,7.5,0.0,0.0,6.666666666666666,3.5416666666666665,0,0,2,4,1.666666666666667,1.666666666666667,1.666666666666667,1.5714285714285714,1.9702380952380951,Regulatory-heavy,3.542,1.571,1.97
23,United Nations Office on Drugs and Crime (UNODC),UNODC,6.666666666666666,0.0,0.0,7.5,3.5416666666666665,0,2,4,0,3.333333333333333,0.0,1.666666666666667,1.5714285714285714,1.9702380952380951,Regulatory-heavy,3.542,1.571,1.97
24,United Nations Office for Project Services (UNOPS),UNOPS,10.0,0.0,0.0,0.0,2.5,0,0,2,2,0.0,0.0,0.0,0.5714285714285714,1.9285714285714286,Regulatory-heavy,2.5,0.571,1.929
25,Ramsar Convention on Wetlands Secretariat (Ramsar),Ramsar,6.666666666666666,0.0,0.0,6.666666666666666,3.333333333333333,0,0,2,6,0.0,1.666666666666667,1.666666666666667,1.6190476190476193,1.7142857142857137,Regulatory-heavy,3.333,1.619,1.714
