path,bytes,sha256,action,reason
00_documentation/archive_notes/chapter5_marked_or_working_draft_reference.docx,5677089,bb05afbdba64c93197c4b80fb276a4890eb133e455e222cbd37c4e4d7ad93e1b,removed,Removed because it contained 36 supervisor comments and six tracked-change elements.
00_documentation/archive_notes/literature_and_concept_notes_1.txt,70140,853bf3ab54f145328796cc5abcc99e1afad6a53b19c86b1d9910f37c2c5a328a,removed,Removed as an internal working-note export containing extensive source-derived quotations and tentative literature synthesis; not required for computational reproduction.
00_documentation/archive_notes/literature_and_concept_notes_2.txt,70140,853bf3ab54f145328796cc5abcc99e1afad6a53b19c86b1d9910f37c2c5a328a,removed,Removed as a duplicate internal working-note export containing extensive source-derived quotations and tentative literature synthesis; not required for computational reproduction.
00_documentation/archive_notes/literature_and_concept_notes_3.txt,42387,6d34af35cc8351932a0c05fc17292aa42b82d93ab9d6972a6addd65df59a568c,removed,Removed as an internal working-note export containing extensive source-derived quotations and tentative literature synthesis; not required for computational reproduction.
01_raw_inputs/normalised_attribute_workbooks/defined_objectives_full_normalised.xlsx,104538,15e0dd4cf7a947150d03bbe9f3ed21e5a0a90f8073e02728dd5f46364d595906,replaced,Removed evidence-rich Traceability_Long sheet; retained Matrix_Wide values under original filename. Public Matrix_Wide values are cell-identical.
01_raw_inputs/normalised_attribute_workbooks/horizontal_coordination_full_normalised.xlsx,116761,df3179cac5428fe4e6a8c6c328efce905b19e73701cc5f751585a602ceaf08b5,replaced,Removed evidence-rich Traceability_Long sheet; retained Matrix_Wide values under original filename. Public Matrix_Wide values are cell-identical.
01_raw_inputs/normalised_attribute_workbooks/interinstitutional_relationships_full_normalised.xlsx,112227,a0742267d6cd166a7d57d7a9a2b39bd8beedc5253040d133cd329f8c99879f2c,replaced,Removed evidence-rich Traceability_Long sheet; retained Matrix_Wide values under original filename. Public Matrix_Wide values are cell-identical.
01_raw_inputs/normalised_attribute_workbooks/sources_of_jurisdiction_full_normalised.xlsx,115518,cee4363a08ab760eab9a3c0630b2811dc61d494fb682e5c6a284417c61d6e176,replaced,Removed evidence-rich Traceability_Long sheet; retained Matrix_Wide values under original filename. Public Matrix_Wide values are cell-identical.
01_raw_inputs/normalised_attribute_workbooks/spatial_jurisdiction_full_normalised.xlsx,60580,85983fe5569f35de59f65ba8bfb549a1dfc58bdb4e0d12e0788a4193f26bf50b,replaced,Removed evidence-rich Traceability_Long sheet; retained Matrix_Wide values under original filename. Public Matrix_Wide values are cell-identical.
01_raw_inputs/normalised_attribute_workbooks/strategies_full_normalised.xlsx,142546,d6310a1ab4c0aa3749d4f0f4cd069095c0ebee2fbcffeaf677c76c5b2b515eee,replaced,Removed evidence-rich Traceability_Long sheet; retained Matrix_Wide values under original filename. Public Matrix_Wide values are cell-identical.
01_raw_inputs/normalised_attribute_workbooks/subject_matter_jurisdiction_full_normalised.xlsx,83490,5ce3bac1af256fe8a054dec2c659fa3ec8b4f9e5d1d32f8f1a780a31e67411d4,replaced,Removed evidence-rich Traceability_Long sheet; retained Matrix_Wide values under original filename. Public Matrix_Wide values are cell-identical.
01_raw_inputs/normalised_attribute_workbooks/vertical_coordination_full_normalised.xlsx,162476,5d011d20adf1c3325ad79c182316da5e68632e4a8756daa682adb3ba2d40da49,replaced,Removed evidence-rich Traceability_Long sheet; retained Matrix_Wide values under original filename. Public Matrix_Wide values are cell-identical.
CITATION.cff,335,f154b2a2b8c5bfef2f637d7fa7370e83655c8c3577cb8b80f29cd430c851a949,replaced,Replaced thesis-specific citation message with publication-neutral dataset metadata.
LICENSE_NOTICE.md,380,b388b11f58799f5720d0875b5579ac738db1dc5f339948341c357b146c32a33c,replaced,Replaced provisional licence note with final mixed CC BY 4.0 / MIT licence scope.
README.md,3342,438ab6d17157ca55217677a5bcca53c86114c3d36d79495e97a2443b8d3efd15,replaced,Rewritten as a publication-neutral public-safe data and reproducibility README.
02_processed_outputs/section_5_4_functional_differentiation/functional_alignment_scores_all_48_igos.csv,12435,590084a0ef13f6daccf657ff08ee46fa4d6f79b34c600f0f2eb6e91d1b4fdd37,replaced,Updated only the provenance-note field to remove reliance on the excluded working draft; analytical fields are unchanged.
02_processed_outputs/section_5_4_functional_differentiation/functional_score_construction_audit.md,2469,8d2af581842df99c51470baa417cc4597120b0d2c3012fb5ecb0dd1db076d40e,replaced,Updated provenance wording to publication-neutral language; analytical definitions are unchanged.
